Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
SRMO replacement of roof with ceiling and truss in office building of Assistant Director Semen Bank Jeori at Sheep Breeding Farm Jeori Distt. Shimla (HP).,SRMO replacement of roof with ceiling and truss in office building,Please refer Tender documents. ,NA ,"21,34,147",Civil Works,NA ,Tender,120.0,90.0,Jeori (Shimla),172101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,ICICI BANK,Executive Engineer,HPSIDC Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),1.0,Corrigendum,Date,,"2,500",Nil,Nil,No,05-Jan-2023 11:00 AM,20-Jan-2023 11:00 AM,05-Jan-2023 11:00 AM,19-Jan-2023 05:00 PM,NA ,NA ,05-Jan-2023 11:00 AM,19-Jan-2023 05:00 PM,02-Feb-2023 02:00 PM,HP SIDC Limited,Job No. 4,2023_SIDC_67032_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"42,700",No,fixed,,Nil,Nil,Finance,Financial summary,Sushant Singh Negi,03-Feb-2023 11:18 AM,finance_101058.pdf,BOQ Comparative Chart,1,315365,Anil Kumar,17-Jan-2023 01:52 PM,Rejected-Finance,Sixth lowest bidder,03-Feb-2023,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,02-Feb-2023 01:37 PM,02-Feb-2023 02:00 PM,techsummary_101058.pdf (559.18 KB),Technical,Tender Summary,Sushant Singh Negi,02-Feb-2023 01:36 PM,,1.0,315825.0,PARVEEN KUMAR,INR,"2,168,733",28-Apr-2023,"INR 2,168,733",90.0,Sushant Singh Negi,03-May-2023 02:44 PM,parveenkumar.pdf (1241.00 KB),Award letter,HP SIDC Limited,2023_SIDC_67032_1,Job No. 4,SRMO replacement of roof with ceiling and truss in office building of Assistant Director Semen Bank Jeori at Sheep Breeding Farm Jeori Distt. Shimla (HP).,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,03-Feb-2023 11:29 AM,finsummary_101058.pdf (126.62 KB)
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,315889,BALDEV THAKUR,12-Jan-2023 03:54 PM,Rejected-Finance,Fifteenth lowest bidder,03-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,315839,BHUSHAN THAKUR,19-Jan-2023 04:15 PM,Rejected-Finance,Thirteenth lowest bidder,03-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,315826,Bhuvnesh Parmar,11-Jan-2023 04:20 PM,Rejected-Finance,Tenth lowest bidder,03-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,316297,DALIP SINGH,19-Jan-2023 01:23 PM,Rejected-Finance,Fifth lowest bidder,03-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,315906,HIMANSHU BANSAL,12-Jan-2023 03:56 PM,Rejected-Finance,Eighth lowest bidder,03-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,316282,M/S RAJESH KUMAR MEHTA,19-Jan-2023 04:11 PM,Rejected-Finance,Third lowest bidder,03-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,315876,Naresh Kumar,12-Jan-2023 03:42 PM,Rejected-Finance,Seventh lowest bidder,03-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,315825,PARVEEN KUMAR,19-Jan-2023 12:22 PM,Accepted-AOC,AOC,03-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,315772,RAJEEV KUMAR,11-Jan-2023 11:23 PM,Rejected-Finance,Second lowest bidder,03-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
