Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Category,Sub Category,Sub Category Description,Format/File,S.No.1.1,Bank Name
Er. Pawan,Internal,Er C.L.,Duni Chand Chauhan,26-Apr-2023 05:05 PM,finsummary_89574.pdf (549.93 KB),26-Apr-2023,"INR 4,139,950",60.0,Duni Chand Chauhan,26-Apr-2023 05:06 PM,songi.pdf (550.00 KB),AOC,PWD,2022_PWD_59151_9,PW-RD-GA-T-21631-730DT23-3-22,Providing Periodical Maintanance on Chirgaon Gushali road km 0/0 to 16/0,PAWAN KUMAR,Internal,AE ROHRU,Duni Chand Chauhan,12-Apr-2022 05:21 PM,12-Apr-2022 05:25 PM,techsummary_89574.pdf (79.62 KB),Technical,Bid Opening Summary,Duni Chand Chauhan,12-Apr-2022 05:08 PM,technical_89574.pdf,1.0,276787.0,Arun Negi,11-Apr-2022 09:42 AM,Rejected-Finance,2nd lowest,26-Apr-2023,1.0,276744.0,Rajinder Singh Negi,INR,"4,139,950",Finance,Bid Opening Summary,Pawan Kumar Garg,12-Apr-2022 05:43 PM,finance_89574.pdf,BOQ Comparative Chart,Providing Periodical Maintanance on Chirgaon Gushali road km 0/0 to 16/0,(SH-Providing renewal coat at R.D. 0/0 to 2/0 (retro-reflective) (Under Village Road),Please refer Tender documents. ,NA ,"33,01,774",Civil Works - Roads,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,Executive Engineer B and R Divn HPPWD Rohru,No ,No,Executive Engineer B and R Divn HPPWD Rohru,Executive Engineer B and R Divn HPPWD Rohru,05-Apr-2022 06:00 PM,11-Apr-2022 11:00 AM,05-Apr-2022 06:00 PM,11-Apr-2022 10:00 AM,NA ,NA ,05-Apr-2022 06:00 PM,11-Apr-2022 10:00 AM,12-Apr-2022 05:25 PM,"57,000",No,fixed,,Nil,Nil,PWD,PW-RD-GA-T-21631-730DT23-3-22,2022_PWD_59151_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276744.0,Rajinder Singh Negi,11-Apr-2022 09:04 AM,Accepted-AOC,AOC,26-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CA/Turnover of Last five year,,,,,,,
