Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
28-Jan-2023 09:00 AM,06-Feb-2023 11:30 AM,28-Jan-2023 09:00 AM,06-Feb-2023 11:00 AM,NA ,NA ,28-Jan-2023 03:00 PM,06-Feb-2023 11:00 AM,21-Feb-2023 10:00 AM,500.0,Nil,Nil,No,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2023-24 Rural MDR road Ranital to 32 Mile (Kotla) (HP0413MDR088) km.10/0 to 11/0,(SH - P/L 30mm thick bituminous concrete and Thermoplastic strip paint in km.10/0 to 11/0,Please refer Tender documents. ,NA ,"24,90,065",Civil Works - Roads,NA ,Tender,120.0,30.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,1.0,ICICI BANK,"44,900",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),EXECUTIVE ENGINEER,"HPPWD, Division, Kangra",PWD,10036-85 dt.23.1.2023,2023_PWD_67630_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Er. Sushil Kumar Dhadwal,Internal,"Superintendent (Gr-II) (Estt.) HPPWD, Kangra Superintendent (Gr-II) (Accounts) HPPWD, Kangra, HDM, HPPWD, Divn., Kangra",Sushil Kumar Dhadwal,20-Feb-2023 12:56 PM,21-Feb-2023 10:00 AM,techsummary_101887.pdf (468.67 KB),PWD,2023_PWD_67630_1,10036-85 dt.23.1.2023,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2023-24 Rural MDR road Ranital to 32 Mile (Kotla) (HP0413MDR088) km.10/0 to 11/0,10-Apr-2023,"INR 2,604,611",30.0,Sushil Kumar Dhadwal,10-Apr-2023 03:51 PM,AOC.pdf (2370.00 KB),AOC,Er. Sushil Kumar Dhadwal,Internal,"Divisional Head Draughtsman, HPPWD, Kangra, Superintendent (Gr-II) (Estt.) HPPWD, Kangra Superintendent (Gr-II) (Accounts) HPPWD, Kangra",Sushil Kumar Dhadwal,21-Feb-2023 10:47 AM,finsummary_101887.pdf (205.57 KB),1.0,319752.0,Ujjawal Singh,05-Feb-2023 02:42 PM,Accepted-AOC,Award,10-Apr-2023,Technical,Summary,Sushil Kumar Dhadwal,20-Feb-2023 12:47 PM,technical_101887.pdf,1.0,319752.0,Ujjawal Singh,INR,"2,604,611",Finance,Summary,Sushil Kumar Dhadwal,21-Feb-2023 10:41 AM,finance_101887.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,319673.0,VP SHARMA,02-Feb-2023 12:51 PM,Rejected-Finance,Rate higher side,21-Feb-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding HMP (Batch type Hot Mix Plant) should be installed within 25 kms from location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
