Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),Periodical renewal to(i) link road from T-02 (Paonta Puruwala)to Dobri km.0/0 to 3/120. (SH-Providing and laying 50mm.Thick penetration macadam in essential reaches and 30mm.Thick bituminous concrete in km.2/0 to 3/120),(ii) link road from Shyampur Bhood to Manpur Deora Guruwala km.0/0 to 3/0 (SH-Providing and laying 50mm.Thick penetration macadam in essential reaches and 30mm.Thick bituminous concrete in km.0/0 to 1/0). under Annual Maintenance Plan 2022-23.,Please refer tender document ,NA ,"31,49,200",Civil Works - Roads,NA ,Tender,75.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"1,500",Nil,Nil,No,"54,700",No,fixed,,Nil,Nil,1.0,ICICI BANK,21-Mar-2022 04:30 PM,29-Mar-2022 11:00 AM,21-Mar-2022 05:00 PM,29-Mar-2022 10:30 AM,NA ,NA ,21-Mar-2022 05:00 PM,29-Mar-2022 10:30 AM,31-Mar-2022 03:00 PM,PWD,Tender/2021-22-13485-13534 dated 14.03.2022,2022_PWD_58314_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii)Earnest money- schedule f at sr. No. (i),PWD,2022_PWD_58314_8,Tender/2021-22-13485-13534 dated 14.03.2022,Periodical renewal to(i) link road from T-02 (Paonta Puruwala)to Dobri km.0/0 to 3/120. (SH-Providing and laying 50mm.Thick penetration macadam in essential reaches and 30mm.Thick bituminous concrete in km.2/0 to 3/120),Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,31-Mar-2022 12:36 PM,31-Mar-2022 03:00 PM,techsummary_88219.pdf (895.90 KB),Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,19-Apr-2022 11:43 AM,finsummary_88219.pdf (304.48 KB),17-Apr-2023,"INR 3,149,200",90.0,Dalip Singh Tomar,17-Apr-2023 12:04 PM,aoc.pdf (997.00 KB),AOC,Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,19-Apr-2022 10:46 AM,finance_88219.pdf,BOQ Comparative Chart,1.0,272555.0,Chanana Cont. Works,INR,"2,848,882",1.0,272555.0,Chanana Cont. Works,28-Mar-2022 09:27 PM,Accepted-AOC,Work completed,17-Apr-2023,Technical,Bid Opening Summary,Kishan Lal Chaudhary,31-Mar-2022 11:48 AM,technical_88219.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,273558.0,H. C. Bansal Engg. & Contt.,29-Mar-2022 02:10 AM,Rejected-Finance,L4,19-Apr-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,271765.0,Manoj Chawla,28-Mar-2022 04:21 PM,Rejected-Finance,L3,19-Apr-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,272940.0,M/S Sharma Enterpirses,29-Mar-2022 12:04 AM,Rejected-Finance,L2,19-Apr-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18(i.e.R.C,purchase bills,ownership/Affidavit etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,If contractor has not his own machinery and takes it on hire basis then affidavit required from owne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
