S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,"Construction of War Museum at Dharamshala (Deposit-MPLAD) in Tehsil Dharamshala, Distt. Kangra, H.P.",Sub Head- Providing Chairs and Table,Please refer Tender documents. ,NA ,"4,34,500",Civil Works,NA ,Tender,75.0,30.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,12-Mar-2023 03:00 PM,20-Mar-2023 03:30 PM,12-Mar-2023 03:00 PM,20-Mar-2023 03:00 PM,NA ,NA ,12-Mar-2023 03:00 PM,20-Mar-2023 03:00 PM,22-Mar-2023 04:30 PM,"8,700",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,350.0,Nil,Nil,No,PWD,dshala 15722-50,2023_PWD_70636_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,PWD,2023_PWD_70636_3,dshala 15722-50,"Construction of War Museum at Dharamshala (Deposit-MPLAD) in Tehsil Dharamshala, Distt. Kangra, H.P.",Er. J.S. Thakur,Internal,"Sr. DAO, Supdt.Gr-II, HDM, Tender Assisatant",Jagtar Singh Thakur,22-Mar-2023 04:29 PM,22-Mar-2023 04:30 PM,techsummary_106478.pdf (231.98 KB),Er. J.S. Thakur,Internal,"Sr. DAO, Supdt.Gr-II, HDM, Tender Assisatant",Jagtar Singh Thakur,25-Mar-2023 06:49 PM,finsummary_106478.pdf (576.38 KB),25-Apr-2023,"INR 306,000",30.0,Tarlok Dhiman,27-Aug-2023 01:01 PM,IMG_0002.pdf (655.00 KB),Karan Sharma,1.0,335365.0,ankur sheel,18-Mar-2023 10:04 AM,Rejected-Finance,HIGHER BIDDER,25-Mar-2023,Technical,AS PER DOCUMENT ATTACHED,Jagtar Singh Thakur,22-Mar-2023 12:36 PM,technical_106478.pdf,Finance,As per document attached,Jagtar Singh Thakur,25-Mar-2023 02:46 PM,finance_106478.pdf,BOQ Comparative Chart,1.0,336177.0,Karan Sharma,INR,"306,000"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,334861.0,Anuj,18-Mar-2023 10:00 AM,Rejected-Finance,HIGHER BIDDER,25-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,336177.0,Karan Sharma,19-Mar-2023 10:50 AM,Accepted-AOC,L1,27-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
