S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
1.0,330952.0,RAM KISHAN CHANDEL,INR,"16,100,105","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_69659_2,NHN-SMROO-722- 18607-687 dt 24-2-23,Resilient and Sustainable Services Delivery in water Supplies schemes under Jal Shakti Vibhag Subdivision Jamta in Tehsil Nahan Distt. Sirmour HP,SE Nahan,Internal,CHD AED EED EEN SE,Ashish Rana,22-Mar-2023 04:12 PM,finsummary_105086.pdf (172.21 KB),04-Apr-2023,"INR 18,655,930",180.0,Ashish Rana,05-Apr-2023 02:48 PM,AOC.pdf (792.00 KB),Award to Contractor,Finance,Financial Bid Opening Summary,Ashish Rana,15-Mar-2023 06:24 PM,finance_105086.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,15-Mar-2023 05:44 PM,technical_105086.pdf,SE Nahan,Internal,CHD AED EED SE,Ashish Rana,15-Mar-2023 05:47 PM,15-Mar-2023 05:50 PM,techsummary_105086.pdf (318.30 KB),1.0,331068.0,akhilandco@gmail.com,03-Mar-2023 09:22 PM,Rejected-Finance,Reject,22-Mar-2023,"2,19,059",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,25-Feb-2023 05:00 PM,04-Mar-2023 11:30 AM,25-Feb-2023 05:00 PM,04-Mar-2023 11:00 AM,NA ,NA ,25-Feb-2023 05:00 PM,04-Mar-2023 11:00 AM,15-Mar-2023 05:50 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 18607-687 dt 24-2-23,2023_HPIPH_69659_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,Resilient and Sustainable Services Delivery in water Supplies schemes under Jal Shakti Vibhag Subdivision Jamta in Tehsil Nahan Distt. Sirmour HP,C/o check dam at Jalal river (Near village Panjahal) Length 70 mtrs and Height 3.00 mtrs) Job No. 2,Please refer Tender documents. ,NA ,"1,86,55,930",Civil Works,NA ,Tender,120.0,180.0,Jamta,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"2,500",Executive Engineer Jal Shakti Division Nahan,Nahan,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330998.0,BACHITTAR SINGH AND CO,03-Mar-2023 09:19 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,331237.0,BHAW SINGH KAPOOR CONTRACTOR,03-Mar-2023 09:04 PM,Rejected-Finance,Reject,22-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,330716.0,KULDEEP DOGRA,02-Mar-2023 10:52 PM,Rejected-Finance,Reject,22-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,330952.0,RAM KISHAN CHANDEL,02-Mar-2023 06:25 PM,Accepted-AOC,AOC,05-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration as mentioned in NIT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,331208.0,Roshan Chauhan,03-Mar-2023 03:13 PM,Rejected-Finance,Reject,22-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking joint venture is not allowed as mentioned in NIT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,331440.0,Utkarsh HK Thakur,04-Mar-2023 08:56 AM,Rejected-Finance,Reject,22-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work as mentioned in NIT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit specifying that the benefit availed under earnest money exemption has not been exhauste,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,
