Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Directorate Rural Development and Panchayati Ra,Mashu Tilordhar,2023_DRDPR_68031_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"56,500",No,fixed,,Executive Engineer,Shimla,1.0,Fee/PreQual/Technical,.pdf,EMD and tender fee,Construction Panchayat Community Centre Panchayat Ghar in Gram Panchayat Mashu Block Tilodhar Distt Sirmour,As per DNIT,Please refer Tender documents. ,NA ,"32,59,656",Civil Works - Buildings,NA ,Tender,75.0,365.0,Mashu Tilodhar,171009.0,NA ,NA ,NA ,Shimla Kasumpti,No ,No,"1,500",Executive Engineer,Shimla,No,1.0,DD - Demand Draft,Executive engineer,SDA Complex Block No 27 Kasumpti,06-Feb-2023 11:00 AM,20-Feb-2023 12:00 PM,06-Feb-2023 11:00 AM,16-Feb-2023 05:00 PM,NA ,NA ,06-Feb-2023 11:00 AM,16-Feb-2023 05:00 PM,27-Feb-2023 11:00 AM,28-Apr-2023,"INR 3,259,656",365.0,Rajesh Chandel,15-Jun-2023 12:48 PM,2023_DRDPR_68031_1.pdf (4242.00 KB),AOC,Technical,BOS,Rajesh Chandel,24-Feb-2023 12:24 PM,technical_102475.pdf,Finance,BOS,Rajesh Chandel,27-Feb-2023 02:32 PM,finance_102475.pdf,BOQ Comparative Chart,1,323932,ANIL KUMAR,15-Feb-2023 05:15 PM,Rejected-AOC,L2,15-Jun-2023,Executive Engineer,Internal,Members,Rajesh Chandel,24-Feb-2023 12:57 PM,27-Feb-2023 11:00 AM,techsummary_102475.pdf (2758.14 KB),Executive Engineer,Internal,Members,Rajesh Chandel,27-Feb-2023 02:39 PM,finsummary_102475.pdf (2758.14 KB),Directorate Rural Development and Panchayati Ra,2023_DRDPR_68031_1,Mashu Tilordhar,Construction Panchayat Community Centre Panchayat Ghar in Gram Panchayat Mashu Block Tilodhar Distt Sirmour,1.0,324485.0,Naveen rana,INR,"2,963,444"
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration EPF no and PAN no. Contractor registration,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,323914,BALBIR SINGH,15-Feb-2023 04:54 PM,Rejected-AOC,L7,15-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,323179,Bharat Bhushan Mohil,14-Feb-2023 05:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that there is not more than 2 works of this department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,324335,Bhaw Singh Chauhan,16-Feb-2023 01:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,323821,Gian Singh Chauhan,15-Feb-2023 05:09 PM,Rejected-AOC,L5,15-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,323890,Gulab Singh,15-Feb-2023 04:21 PM,Rejected-AOC,L3,15-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,323921,JAGDISH,15-Feb-2023 05:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,324544,KHAJAN SINGH,16-Feb-2023 04:34 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,323825,MITHLESH CHAUHAN,15-Feb-2023 05:19 PM,Rejected-AOC,L4,15-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,323976,munshi ram,16-Feb-2023 01:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,
