Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
350.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,PWD,THD/CB-tender/2022-17546-60,2023_PWD_71569_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-Mar-2023 05:00 PM,05-Apr-2023 11:00 AM,25-Mar-2023 05:00 PM,04-Apr-2023 05:00 PM,NA ,NA ,25-Mar-2023 05:00 PM,04-Apr-2023 05:00 PM,13-Apr-2023 11:00 AM,Restoration of rain damages on Tiyali Mandir to Nanoo road km 0.0 to 8.210,Construction of Retaining wall at RD 5.790 to 5.983 and 6.335 to 6.348,As per GCC ,NA ,"9,71,943",Civil Works - Roads,NA ,Tender,30.0,60.0,Theog Tehsil Theog District Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,"19,500",No,fixed,,Nil,Nil,Executive Engineer,"Theog Division, HPPWD","Er. Ravi Bhatti, Executive Engineer",Internal,"Sant Ram, Supdt. Gr-II, Jia Lal Draughtsman, Leela Verma, Sr. Asstt. Sunil Dutt Sharma, Sr. Asstt.",Ravi Bhatti,13-Apr-2023 10:01 AM,13-Apr-2023 11:00 AM,techsummary_107678.pdf (488.18 KB),PWD,2023_PWD_71569_2,THD/CB-tender/2022-17546-60,Restoration of rain damages on Tiyali Mandir to Nanoo road km 0.0 to 8.210,22-Apr-2023,"INR 991,378",60.0,Ajay Gazta,26-Aug-2023 01:51 PM,award.pdf (965.00 KB),Award letter,"Er. Ravi Bhatti, Executive Engineer",Internal,"Jia Lal, Draughtsman",Ravi Bhatti,21-Apr-2023 09:45 AM,finsummary_107678.pdf (412.08 KB),1.0,340287.0,Indu Verma,03-Apr-2023 04:45 PM,Accepted-AOC,Being L1,26-Aug-2023,Technical,Bid Opening summary,Ravi Bhatti,06-Apr-2023 03:32 PM,technical_107678.pdf,1.0,340287.0,Indu Verma,INR,"991,378",Finance,Financial bid opening summary,Ravi Bhatti,13-Apr-2023 01:43 PM,finance_107678.pdf,BOQ Comparative Chart
,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340210.0,Narinder Singh,03-Apr-2023 03:17 PM,Rejected-Finance,Being higher rates,21-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,339878.0,Prakash Chand,31-Mar-2023 05:31 PM,Rejected-Technical,Technically non responsive,13-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
