Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,"6,000",No,fixed,,EE HPPWD Baijnath,Baijnath,Repair and maintenance of approach road from NH 20 to Jawahar Navodya Vidlaya Paprola,Repair of pot hole at Km 0/0 to 0/400,Please refer Tender documents. ,NA ,"2,98,903",Civil Works - Roads,NA ,Tender,60.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,22-Mar-2023 02:00 PM,28-Mar-2023 11:30 AM,22-Mar-2023 02:00 PM,28-Mar-2023 11:00 AM,NA ,NA ,22-Mar-2023 02:00 PM,28-Mar-2023 11:00 AM,10-Apr-2023 11:00 AM,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,DD - Demand Draft,350.0,EE HPPWD Baijnath,Baijnath,No,PWD,PWD-BD-TA-2022-23-21310-61,2023_PWD_71405_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,338249.0,Shalabh Awasthi,25-Mar-2023 05:08 PM,Accepted-AOC,lower side,28-Apr-2023,Technical,Two bidders participated in this tender and found responsive.,Sanjiv Kumar,04-Apr-2023 03:55 PM,technical_107475.pdf,1.0,338249.0,Shalabh Awasthi,INR,"272,300",Finance,Financial bid of two bidders open successfully.,Sanjiv Kumar,28-Apr-2023 12:28 PM,finance_107475.pdf,BOQ Comparative Chart,Xen HPPWD Baijnath,Internal,"HDM, SupdtGII, DAO AE Baijnath",Sanjiv Kumar,04-Apr-2023 03:55 PM,10-Apr-2023 11:00 AM,techsummary_107475.pdf (232.15 KB),PWD,2023_PWD_71405_1,PWD-BD-TA-2022-23-21310-61,Repair and maintenance of approach road from NH 20 to Jawahar Navodya Vidlaya Paprola,28-Apr-2023,"INR 298,903",60.0,Sanjiv Kumar,28-Apr-2023 12:31 PM,AwardNavoya.PDF (205.00 KB),Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 12:30 PM,finsummary_107475.pdf (174.10 KB)
,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,2.0,338930.0,Suvindu Soni,27-Mar-2023 05:54 PM,Rejected-Finance,higher side,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
