Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,22-Mar-2023 02:00 PM,28-Mar-2023 11:30 AM,22-Mar-2023 02:00 PM,28-Mar-2023 11:00 AM,NA ,NA ,22-Mar-2023 02:00 PM,28-Mar-2023 11:00 AM,10-Apr-2023 11:00 AM,"7,600",No,fixed,,EE HPPWD Baijnath,Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,PWD,PWD-BD-TA-2022-23-21310-61,2023_PWD_71406_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,350.0,EE HPPWD Baijnath,Baijnath,No,Repair of Court Complex Building Tehsil Baijnath Distt. Kangra (HP),"Repair of window panes, white washing and painting for railing and window.)",Please refer Tender documents. ,NA ,"3,82,725",Civil Works - Buildings,NA ,Tender,60.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,Finance,Financial bid of two bidders open successfully.,Sanjiv Kumar,28-Apr-2023 03:42 PM,finance_107481.pdf,BOQ Comparative Chart,1.0,338423.0,VIKAS RANA GOVT. CONTRACTOR,INR,"399,947",1.0,338937.0,Ashish Chauhan,28-Mar-2023 10:17 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Apr-2023,Technical,Six bidders participated in this work and two bidders found responsive.,Sanjiv Kumar,04-Apr-2023 03:49 PM,technical_107481.pdf,Xen HPPWD Baijnath,Internal,"HDM, Supdt,GII, DAO AE Baijnath",Sanjiv Kumar,04-Apr-2023 03:50 PM,10-Apr-2023 11:00 AM,techsummary_107481.pdf (326.75 KB),PWD,2023_PWD_71406_1,PWD-BD-TA-2022-23-21310-61,Repair of Court Complex Building Tehsil Baijnath Distt. Kangra (HP),28-Apr-2023,"INR 382,725",60.0,Sanjiv Kumar,28-Apr-2023 03:44 PM,Awardcourt.PDF (192.00 KB),Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 03:43 PM,finsummary_107481.pdf (187.11 KB)
,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,337898.0,Kapil Chand,27-Mar-2023 05:18 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,338888.0,Santosh Kumar,27-Mar-2023 04:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,338441.0,Shalabh Awasthi,26-Mar-2023 03:33 PM,Rejected-Finance,Higher Side,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,338423.0,VIKAS RANA GOVT. CONTRACTOR,26-Mar-2023 04:07 PM,Accepted-AOC,Lower Side,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,338832.0,Vinay Vyas,28-Mar-2023 10:40 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
