Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2023-24 Rural road Daulatpur to Janiankar road (HP0406VR056) km.1/0 to 2/0,(SH - P/L 30mm thick bituminous concrete in km.1/0 to 2/0,Please refer Tender documents. ,NA ,"12,49,765",Civil Works - Roads,NA ,Tender,120.0,30.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),"25,000",No,fixed,,Nil,Nil,Executive Engineer,HPPWD Division Kangra,28-Jan-2023 09:00 AM,06-Feb-2023 11:30 AM,28-Jan-2023 09:00 AM,06-Feb-2023 11:00 AM,NA ,NA ,28-Jan-2023 03:00 PM,06-Feb-2023 11:00 AM,21-Feb-2023 10:00 AM,1.0,ICICI BANK,PWD,10036-85 dt.23.1.2023,2023_PWD_67630_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Finance,Summary,Sushil Kumar Dhadwal,25-Apr-2023 11:46 AM,finance_101906.pdf,BOQ Comparative Chart,1.0,320146.0,36jk builders and contractors,05-Feb-2023 01:57 PM,Rejected-Finance,rate higher side,25-Apr-2023,Technical,Summary,Sushil Kumar Dhadwal,20-Feb-2023 01:41 PM,technical_101906.pdf,Er. Sushil Kumar Dhadwal,Internal,"Superintendent (Gr-II) (Estt.) HPPWD, Kangra Superintendent (Gr-II) (Accounts) HPPWD, Kangra, HDM, HPPWD, Divn., Kangra",Sushil Kumar Dhadwal,20-Feb-2023 01:41 PM,21-Feb-2023 10:00 AM,techsummary_101906.pdf (417.42 KB),1.0,320255.0,Rohit,INR,"1,304,108",25-Apr-2023,"INR 1,249,765",30.0,Sushil Kumar Dhadwal,25-Apr-2023 11:59 AM,AOC.pdf (1411.00 KB),Award,PWD,2023_PWD_67630_12,10036-85 dt.23.1.2023,Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2023-24 Rural road Daulatpur to Janiankar road (HP0406VR056) km.1/0 to 2/0,Er. Sushil Kumar Dhadwal,Internal,"DAO (Gr-I), HPPWD, Divn., Kangra, Divisional Head Draughtsman, HPPWD, Kangra, Superintendent (Gr-II) (Estt.) HPPWD, Kangra",Sushil Kumar Dhadwal,25-Apr-2023 11:52 AM,finsummary_101906.pdf (413.95 KB)
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,320255.0,Rohit,05-Feb-2023 02:00 PM,Accepted-AOC,Award,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding HMP (Batch type Hot Mix Plant) should be installed within 25 kms from location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
