Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Technical,Bid Opening Summary,Deepak Mahajan,15-Feb-2023 06:05 PM,technical_102428.pdf,1.0,321515.0,Kamal Thakur,13-Feb-2023 10:06 AM,Rejected-Finance,Other Than Lowest,23-Mar-2023,Finance,Bid Opening Summary,Deepak Mahajan,23-Mar-2023 07:06 PM,finance_102428.pdf,BOQ Comparative Chart,1.0,319999.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,INR,"4,946,201",Executive Engineer,Internal,Senior Assistant Superintendent HDM DAE AE,Deepak Mahajan,23-Mar-2023 07:09 PM,finsummary_102428.pdf (18.34 KB),03-Apr-2023,"INR 4,970,566",90.0,Deepak Mahajan,04-Oct-2023 12:42 PM,AL.pdf (847.00 KB),Award letter,PWD,2023_PWD_67988_1,EE Salooni Letter No. 13186-13235 dated 27.01.2023,"Periodical Maintenance on Bathri Sundla Langera J and K boundary road (MDR-89) under AMP for the year 2023-2024 K.M. 77 to 78/0, 78/0 to 79/0 and 79/0 to 80/0",Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,15-Feb-2023 06:44 PM,20-Feb-2023 11:30 AM,techsummary_102428.pdf (715.30 KB),Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,"Periodical Maintenance on Bathri Sundla Langera J and K boundary road (MDR-89) under AMP for the year 2023-2024 K.M. 77 to 78/0, 78/0 to 79/0 and 79/0 to 80/0",Providing and laying 30mm thick bituminous concrete,Please refer Tender documents. ,NA ,"48,73,103",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,"97,500",No,fixed,,Nil,Nil,PWD,EE Salooni Letter No. 13186-13235 dated 27.01.2023,2023_PWD_67988_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,03-Feb-2023 04:00 PM,13-Feb-2023 11:30 AM,03-Feb-2023 04:00 PM,13-Feb-2023 11:00 AM,NA ,NA ,03-Feb-2023 04:00 PM,13-Feb-2023 11:00 AM,20-Feb-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,1.0,ICICI BANK,"2,000",Nil,Nil,No
,,,,,2.0,319999.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,12-Feb-2023 07:00 PM,Accepted-AOC,Work Completed,04-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,2.0,ICICI NEFT/RTGS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7/8, duly signed by the contractor",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff and Machinery,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,One similar work of forty percent of the estimated value of work (without L.D.) in last five year,,,,,,
