Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Technical,Bid Opening Summary,Kishan Lal Chaudhary,01-Sep-2021 02:42 PM,technical_76761.pdf,1.0,232002.0,Anju Kumar,26-Aug-2021 03:52 PM,Rejected-Finance,L2,17-Sep-2021,1.0,232195.0,Bali Ram,INR,"1,699,258",Finance,Fin bid Opening Summary,Kishan Lal Chaudhary,17-Sep-2021 02:56 PM,finance_76761.pdf,BOQ Comparative Chart,03-Apr-2023,"INR 1,732,600",180.0,Dalip Singh Tomar,03-Apr-2023 01:11 PM,aoc.pdf (788.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,17-Sep-2021 03:04 PM,finsummary_76761.pdf (461.15 KB),Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,01-Sep-2021 02:53 PM,01-Sep-2021 03:30 PM,techsummary_76761.pdf (742.98 KB),PWD,2021_PWD_51348_5,tender/2021-22- 3973-4023 dated 09.08.2021,Construction of road from Kodewala to Bhagtawali km 0/0 to 1/0.(SH-construction of 10.80 mtr span R.C.C. Box cell culvert at additional RD 0/535).Under MNP.,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"33,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of road from Kodewala to Bhagtawali km 0/0 to 1/0.(SH-construction of 10.80 mtr span R.C.C. Box cell culvert at additional RD 0/535).Under MNP.,Construction of road from Kodewala to Bhagtawali km 0/0 to 1/0.(SH-construction of 10.80 mtr span R.C.C. Box cell culvert at additional RD 0/535).Under MNP.,Please refer tender document ,NA ,"17,32,600",Civil Works - Roads,NA ,Tender,75.0,180.0,Paint Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii),20-Aug-2021 04:30 PM,27-Aug-2021 11:00 AM,20-Aug-2021 05:00 PM,26-Aug-2021 05:00 PM,NA ,NA ,20-Aug-2021 05:00 PM,26-Aug-2021 05:00 PM,01-Sep-2021 03:30 PM,PWD,tender/2021-22- 3973-4023 dated 09.08.2021,2021_PWD_51348_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No
,,,,,2.0,232195.0,Bali Ram,25-Aug-2021 09:57 PM,Accepted-AOC,Work Completed,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No. (I),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,232304.0,Basti Ram,26-Aug-2021 10:58 AM,Rejected-Finance,L7,17-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,232136.0,Bhupender Chauhan,25-Aug-2021 10:37 AM,Rejected-Finance,L6,17-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.0,231437.0,IQUBAL,26-Aug-2021 03:46 PM,Rejected-Finance,L3,17-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.0,232292.0,Mumtaj Ali Civil Contractor,26-Aug-2021 07:06 AM,Rejected-Finance,L5,17-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18 ( i.e. R.C,purchase bills,ownership/Affidavit et",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.0,231873.0,Nazar Ali,24-Aug-2021 07:19 PM,Rejected-Finance,L4,17-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8.0,232344.0,saurabh sharma,26-Aug-2021 11:52 AM,Rejected-Finance,L8,17-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,,,,,,,,,,,,,,,,,
