Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
350.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,Executive Engineer,"Executive Engineer, HPPWD Division Jaisinghpur","19,100",No,fixed,,Nil,Nil,PWD,C/O Cow sanctuary at Kangain Tehsil Jaisinghpur,2023_PWD_68937_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,15-Feb-2023 04:00 PM,23-Feb-2023 11:00 AM,15-Feb-2023 04:00 PM,22-Feb-2023 05:00 PM,NA ,NA ,15-Feb-2023 04:00 PM,22-Feb-2023 05:00 PM,06-Mar-2023 03:00 PM,C/O Cow sanctuary at Kangain Tehsil Jaisinghpur Distt. Kangra (HP),C/O and Repair of combined wire fencing around the Boundary of Sanctuary at RD 0/00 to 0/450 Metre,Please refer Tender documents. ,NA ,"9,51,513",Civil Works - Others,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",Vijay Kumar Verma,06-Mar-2023 12:59 PM,06-Mar-2023 03:00 PM,techsummary_103959.pdf (277.62 KB),PWD,2023_PWD_68937_1,C/O Cow sanctuary at Kangain Tehsil Jaisinghpur,C/O Cow sanctuary at Kangain Tehsil Jaisinghpur Distt. Kangra (HP),10-Apr-2023,"INR 951,513",60.0,Vijay Kumar Verma,02-Jun-2023 02:25 PM,Award.pdf (618.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",Vijay Kumar Verma,09-Mar-2023 01:19 PM,finsummary_103959.pdf (211.40 KB),1.0,324977.0,AJAY KUMAR,20-Feb-2023 05:33 PM,Rejected-Finance,Rejected due to higher rates bidder L5,09-Mar-2023,Technical,Summary,Vijay Kumar Verma,06-Mar-2023 12:57 PM,technical_103959.pdf,Finance,Summary,Vijay Kumar Verma,09-Mar-2023 01:11 PM,finance_103959.pdf,BOQ Comparative Chart,1.0,326924.0,Rajinder Kumar Govt.Contractor,INR,"739,950"
,,,,2.0,ICICI NEFT/RTGS,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,326800.0,PARIVESH MAHAJAN,22-Feb-2023 11:44 AM,Rejected-Finance,Rejected due to higher rates bidder L4,09-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,324939.0,parveen kumar,21-Feb-2023 01:38 PM,Rejected-Finance,Rejected due to higher rates bidder L3,09-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Rule 26.2 b in SBD one Similar work not less than 40 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,326924.0,Rajinder Kumar Govt.Contractor,22-Feb-2023 04:55 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,02-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,325722.0,SAVITA KUMARI,22-Feb-2023 11:13 AM,Rejected-Finance,Rejected due to higher rates bidder L2,09-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,324980.0,SURESH KUMAR KALOTRA,21-Feb-2023 02:17 PM,Rejected-Finance,Rejected due to higher rates bidder L6,09-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
