Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
10-Apr-2023,"INR 5,303,853",60.0,Vijay Kumar Verma,25-Aug-2023 03:56 PM,Award.pdf (549.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",Vijay Kumar Verma,15-Mar-2023 02:43 PM,finsummary_105447.pdf (217.91 KB),Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",Vijay Kumar Verma,14-Mar-2023 12:42 PM,14-Mar-2023 03:00 PM,techsummary_105447.pdf (328.42 KB),PWD,2023_PWD_69950_1,Annual maintenance plan for Ropri to Umber road,Annual maintenance plan for Ropri to Umber road DRRP No. HP0407VR002912304-307,Technical,Summary,Vijay Kumar Verma,14-Mar-2023 12:40 PM,technical_105447.pdf,1.0,331578.0,G.P.ACHARYA,06-Mar-2023 01:39 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,25-Aug-2023,1.0,331578.0,G.P.ACHARYA,INR,"5,269,720",Finance,Summary,Vijay Kumar Verma,15-Mar-2023 02:40 PM,finance_105447.pdf,BOQ Comparative Chart,Executive Engineer,"Executive Engineer, HPPWD Division Jaisinghpur","1,06,100",No,fixed,,Nil,Nil,PWD,Annual maintenance plan for Ropri to Umber road,2023_PWD_69950_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,Annual maintenance plan for Ropri to Umber road DRRP No. HP0407VR002912304-307,"Providing and Laying Tack coat, 30 mm thick Bituminous concrete including profile correction and applying 2.5 mm thick hot Thermoplastic road marking strips (Retro-Reflective) between Km 3/00 to 6/360) (year 2023-24 Incentive)",Please refer Tender documents. ,NA ,"53,03,855",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,01-Mar-2023 03:00 PM,07-Mar-2023 11:00 AM,01-Mar-2023 04:00 PM,06-Mar-2023 05:00 PM,NA ,NA ,01-Mar-2023 04:00 PM,06-Mar-2023 05:00 PM,14-Mar-2023 03:00 PM,1.0,ICICI BANK,"2,000",Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,331527.0,Kulvinder Singh Rana,06-Mar-2023 11:01 AM,Rejected-Finance,Rejected due to higher rates bidder L2,15-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity General rule 26.2 a in SBD last five years alongwith audit balance sheet from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Rule 26.2 b in SBD one Similar work not less than 40 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
