Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,"2,000",Nil,Nil,No,Executive Engineer B and R Divn HPPWD Rohru,Executive Engineer B and R Divn HPPWD Rohru,Providing Periodical Maintanance on Sheelghat Bral Jharag road k.m. 0/0 to 7/00,(SH-Providing renewal coat at R.D. 0/0 to 5/00 Providing and applying 2.5mm thick road marking strips (retro-reflective) (Under MDR),Please refer Tender documents. ,NA ,"89,64,010",Civil Works - Roads,NA ,Tender,45.0,90.0,ROHRU,171207.0,NA ,NA ,NA ,Executive Engineer B and R Divn HPPWD Rohru,No ,No,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,"1,42,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,05-Apr-2022 05:35 PM,11-Apr-2022 11:00 AM,05-Apr-2022 05:35 PM,11-Apr-2022 10:00 AM,NA ,NA ,05-Apr-2022 05:35 PM,11-Apr-2022 10:00 AM,12-Apr-2022 05:20 PM,PWD,PW-RD-GA-T-21631-730DT23-3-22,2022_PWD_59151_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Finance,Bid Opening Summary,Pawan Kumar Garg,12-Apr-2022 05:37 PM,finance_89564.pdf,BOQ Comparative Chart,1.0,276768.0,Rajinder Singh Negi,INR,"10,154,700",1.0,276786.0,Arun Negi,11-Apr-2022 09:45 AM,Rejected-Finance,2nd lwest,26-Apr-2023,Technical,Bid Opening Summary,Duni Chand Chauhan,12-Apr-2022 05:06 PM,technical_89564.pdf,PAWAN KUMAR,Internal,AE ROHRU,Duni Chand Chauhan,12-Apr-2022 05:19 PM,12-Apr-2022 05:20 PM,techsummary_89564.pdf (93.29 KB),PWD,2022_PWD_59151_4,PW-RD-GA-T-21631-730DT23-3-22,Providing Periodical Maintanance on Sheelghat Bral Jharag road k.m. 0/0 to 7/00,26-Apr-2023,"INR 10,154,700",90.0,Duni Chand Chauhan,26-Apr-2023 05:10 PM,deepak.pdf (499.00 KB),AOC,Er. Pawan,Internal,Er. CL,Duni Chand Chauhan,26-Apr-2023 05:09 PM,finsummary_89564.pdf (549.94 KB)
,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276768.0,Rajinder Singh Negi,11-Apr-2022 09:07 AM,Accepted-AOC,AOC,26-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,CA/Turnover of Last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
