Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description
01-Apr-2023,INR 931.73,540.0,Deepak Mahajan,07-May-2023 04:57 PM,AL.pdf (63.00 KB),Award Letter,Executive Engineer,Internal,Dealing Assistant (C and C) Superintendent (W) EO Executive Engineer (D),Deepak Mahajan,24-Feb-2023 01:51 PM,finsummary_100823.pdf (95.92 KB),Superintending Engineer,Internal,"Dealing Assistant 7th Circle HPPWD Dalhousie ,Superintendent Gr-II 7th Circle HPPWD Dalhousie, Engineer Officer 7th Circle HPPWD Dalhousie EE Design 7th Circle HPPWD and EE Bharmour HPPWD Bharmour",Jeet Singh Thakur,11-Jan-2023 03:07 PM,16-Jan-2023 04:30 PM,techsummary_100823.pdf (1026.13 KB),PWD,2022_PWD_66883_1,SE Dalhousie Letter No. 11021-40 dated 12-12-2022,Construction of Chhatrari Ghura via Marour road Km 0/0 to 7/650 in District Chamba,1.0,315233.0,M V D Cementation and Construction Pvt. Ltd.,INR,"78,954,182",Finance,Bid Opening Summary,Deepak Mahajan,24-Feb-2023 01:34 PM,finance_100823.pdf,BOQ Comparative Chart,Technical,BOS,Jeet Singh Thakur,11-Jan-2023 03:00 PM,technical_100823.pdf,1.0,315239.0,Des Raj and Co.,05-Jan-2023 10:55 AM,Rejected-Finance,Other Than Lowest,24-Feb-2023,PWD,SE Dalhousie Letter No. 11021-40 dated 12-12-2022,2022_PWD_66883_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,"18,64,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Chhatrari Ghura via Marour road Km 0/0 to 7/650 in District Chamba,"Improvement of curve, Passing Places, C/o R-wall, C.D. works GSB, WBM-II, WBM-III, M/T, side drain, parapets and sign board) under NABARD RIDF-XXVIII",Please refer Tender documents. ,NA ,"9,31,73,643",Civil Works,NA ,Tender,75.0,540.0,Bharmour,176315.0,NA ,NA ,NA ,Superintending Engineer 7th Circle HPPWD Dalhousie,No ,No,22-Dec-2022 04:10 PM,06-Jan-2023 11:30 AM,22-Dec-2022 04:10 PM,05-Jan-2023 11:00 AM,NA ,NA ,22-Dec-2022 04:10 PM,05-Jan-2023 11:00 AM,16-Jan-2023 04:30 PM,Superintending Engineer,Superintending Engineer 7th Circle HPPWD Dalhousie,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-1 of the Bid as per Section-6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,315238.0,MCC POWER PROJECTS PVT. LTD.,05-Jan-2023 09:56 AM,Rejected-Finance,Other Than Lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. Scanned copy of e-Payment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,315164.0,M/s R.K Mahajan Govt Contractor,04-Jan-2023 06:38 PM,Rejected-Finance,Other Than Lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section -2 Cl-16.2 through online mode i.e. Scanned copy of e-Payment/online
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,315233.0,M V D Cementation and Construction Pvt. Ltd.,05-Jan-2023 10:54 AM,Accepted-AOC,Work awarded,07-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.1-Section-3 (1.1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,315156.0,R P Dhiman,04-Jan-2023 07:07 PM,Rejected-Finance,Other Than Lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.3.1, (1.3.2) (1.3.3)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,314727.0,Tomar Construction Company,04-Jan-2023 06:38 PM,Rejected-Finance,Other Than Lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.4), (1.5)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.6), (1.8), (1.9), (1.10)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.2), (1.7)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 2 Cl (4.2g) and Cl 4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 2 Cl(4.4A (b)
