Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2023-24 Rural MDR road Ranital to 32 Mile (Kotla) (HP0413MDR088) km.11/0 to 12/0,(SH - P/L 30mm thick bituminous concrete and Thermoplastic strip paint in km.11/0 to 12/0,Please refer Tender documents. ,NA ,"24,01,372",Civil Works - Roads,NA ,Tender,120.0,30.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),1.0,ICICI BANK,PWD,10036-85 dt.23.1.2023,2023_PWD_67630_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD Division Kangra,28-Jan-2023 09:00 AM,06-Feb-2023 11:30 AM,28-Jan-2023 09:00 AM,06-Feb-2023 11:00 AM,NA ,NA ,28-Jan-2023 03:00 PM,06-Feb-2023 11:00 AM,21-Feb-2023 10:00 AM,"43,550",No,fixed,,Nil,Nil,PWD,2023_PWD_67630_2,10036-85 dt.23.1.2023,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2023-24 Rural MDR road Ranital to 32 Mile (Kotla) (HP0413MDR088) km.11/0 to 12/0,Er. Sushil Kumar Dhadwal,Internal,"Superintendent (Gr-II) (Estt.) HPPWD, Kangra Superintendent (Gr-II) (Accounts) HPPWD, Kangra, HDM, HPPWD, Divn., Kangra",Sushil Kumar Dhadwal,20-Feb-2023 01:12 PM,21-Feb-2023 10:00 AM,techsummary_101888.pdf (455.33 KB),Er. Sushil Kumar Dhadwal,Internal,"DAO (Gr-I), HPPWD, Divn., Kangra, Divisional Head Draughtsman, HPPWD, Kangra, Superintendent (Gr-II) (Estt.) HPPWD, Kangra",Sushil Kumar Dhadwal,10-Apr-2023 04:03 PM,finsummary_101888.pdf (638.98 KB),10-Apr-2023,"INR 2,401,372",30.0,Sushil Kumar Dhadwal,10-Apr-2023 04:05 PM,AOC.pdf (2537.00 KB),Award,1.0,319751.0,Ujjawal Singh,05-Feb-2023 02:55 PM,Accepted-AOC,Award,10-Apr-2023,Technical,Summary,Sushil Kumar Dhadwal,20-Feb-2023 01:08 PM,technical_101888.pdf,1.0,319751.0,Ujjawal Singh,INR,"2,512,134",Finance,Summary,Sushil Kumar Dhadwal,10-Apr-2023 03:58 PM,finance_101888.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,319691.0,VP SHARMA,02-Feb-2023 01:09 PM,Rejected-Finance,Rate higher side,10-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding HMP (Batch type Hot Mix Plant) should be installed within 25 kms from location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
