S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
1.0,229400.0,AAR ESS Surgical,INR,"1,971,130",Finance,Summary,Dinesh Kumar Dhiman,13-Apr-2023 06:18 PM,finance_76103.pdf,BOQ Comparative Chart,Technical,Technical bid opening summary,Dinesh Kumar Dhiman,13-Aug-2021 05:34 PM,technical_76103.pdf,1.0,229400.0,AAR ESS Surgical,11-Aug-2021 05:47 PM,Accepted-AOC,L1,13-Apr-2023,13-Apr-2023,"INR 2,001,350",90.0,Dinesh Kumar Dhiman,13-Apr-2023 06:33 PM,2021_PWD_50893_3.PDF (1479.00 KB),Work Award Issued,EE Dehra,Internal,"Supdt, HDM,DAO",Dinesh Kumar Dhiman,13-Apr-2023 06:24 PM,finsummary_76103.pdf (333.14 KB),Er Dinesh Kumar Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Dinesh Kumar Dhiman,13-Aug-2021 05:41 PM,16-Aug-2021 10:30 AM,techsummary_76103.pdf (364.16 KB),PWD,2021_PWD_50893_3,EE Dehra letter No.3464-69 dated 02.08.2021,Providing and fixing manifold system alongwith tubning for 100 beded Civil hospital at Dehra,1.0,ICICI BANK,PWD,EE Dehra letter No.3464-69 dated 02.08.2021,2021_PWD_50893_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Dehra Division HPPWD Dehra,Providing and fixing manifold system alongwith tubning for 100 beded Civil hospital at Dehra,P/F oxygen Gag Pipe line in newly created block for COVID Patients,Please refer to tender documents ,NA ,,Civil Works - Others,P/F of oxygen gas pipe ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,06-Aug-2021 10:00 AM,13-Aug-2021 11:30 AM,06-Aug-2021 10:00 AM,12-Aug-2021 06:00 PM,06-Aug-2021 10:00 AM ,09-Aug-2021 04:00 PM ,06-Aug-2021 10:00 AM,12-Aug-2021 06:00 PM,16-Aug-2021 10:30 AM,500.0,Nil,Nil,No,"39,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money
,,,,,,,,,,,,,,,,2.0,229380.0,RAKESH KUMAR,11-Aug-2021 04:59 PM,Rejected-Finance,Highest Bidder,13-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021
,,,,,,,,,,,,,,,,3.0,229340.0,SAJEEV KUMAR GOVT.CONTRACTOR,11-Aug-2021 04:58 PM,Rejected-Technical,Rejected being non responsive,13-Aug-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF
