Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,350.0,Nil,Nil,No,C/o MSCM Degree Collage Thural,C/o Edge wall to protect the ground,Please refer Tender documents. ,NA ,"4,37,114",Civil Works - Roads,NA ,Tender,75.0,60.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,1.0,ICICI BANK,PWD,NIT No.18749-18809 DT.10-02-2023-Bhawarna,2023_PWD_68986_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"8,700",No,fixed,,Nil,Nil,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,16-Feb-2023 10:00 AM,24-Feb-2023 11:30 AM,16-Feb-2023 10:05 AM,24-Feb-2023 11:00 AM,NA ,NA ,16-Feb-2023 10:30 AM,24-Feb-2023 11:00 AM,28-Feb-2023 04:00 PM,1.0,326213.0,ayush,24-Feb-2023 10:20 AM,Rejected-Finance,Bid rank L2,29-Apr-2023,Technical,Summary Attached,Manish Sehgal,28-Feb-2023 03:39 PM,technical_104018.pdf,Finance,Summary,Manish Sehgal,29-Apr-2023 02:29 PM,finance_104018.pdf,BOQ Comparative Chart,1.0,325403.0,SANJAY SAINI,INR,"305,987",PWD,2023_PWD_68986_1,NIT No.18749-18809 DT.10-02-2023-Bhawarna,C/o MSCM Degree Collage Thural,Sh. Manish Sehgal,Internal,Sarthak Sood AEtoEE Subhash Chand Supdt. Suresh Kumar HDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Manish Sehgal,28-Feb-2023 03:40 PM,28-Feb-2023 04:00 PM,techsummary_104018.pdf (323.68 KB),Sh. Manish Sehgal,Internal,,Manish Sehgal,29-Apr-2023 02:32 PM,finsummary_104018.pdf (125.11 KB),29-Apr-2023,"INR 305,986.75",60.0,Manish Sehgal,29-Apr-2023 02:33 PM,AOC.pdf (322.00 KB),AOC
,,.pdf,The valid enlistment/registration of contractor in appropriate class.,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328251.0,PRANSHU SHARMABUILDER,23-Feb-2023 05:36 PM,Rejected-Finance,Bid rank L3,29-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,325403.0,SANJAY SAINI,19-Feb-2023 04:11 PM,Accepted-AOC,Bid rank L1,29-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
