S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and earnest money deposited,Executive Engineer,Elect. Division HPPWD Palampur,PWD,Elect. HPPWD Palampur,2022_PWD_59019_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Warehouse for storage of Electronic Voting Machines (EVMs) and VVPATs at Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm and PA system therein).,Warehouse for storage of Electronic Voting Machines (EVMs) and VVPATs at Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm and PA system therein).,Please refer Tender documents. ,NA ,"13,24,509",Electrical Works,NA ,Tender,120.0,365.0,Dharamshala in Distt. Kangra,176061.0,NA ,NA ,NA ,Palampuur,No ,No,02-Apr-2022 06:00 PM,11-Apr-2022 11:30 AM,02-Apr-2022 06:00 PM,11-Apr-2022 10:00 AM,NA ,NA ,02-Apr-2022 06:00 PM,11-Apr-2022 10:00 AM,27-May-2022 11:30 AM,"26,500",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,PWD,2022_PWD_59019_5,Elect. HPPWD Palampur,Warehouse for storage of Electronic Voting Machines (EVMs) and VVPATs at Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm and PA system therein).,Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Shakti Chandi Sr. Asstt Sh. Atul Nag JDM,Dalip singh Patial,24-May-2022 12:52 PM,27-May-2022 11:30 AM,techsummary_89336.pdf (244.73 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO JDM of this office,Dalip singh Patial,23-Jul-2022 05:01 PM,finsummary_89336.pdf (142.44 KB),10-Apr-2023,"INR 1,324,509",365.0,Dalip singh Patial,10-Apr-2023 03:16 PM,AOC-59019-5.pdf (796.00 KB),Awarded vide this office letter No.3574-79 dated 28.07.2022,Finance,as per uploaded document,Dalip singh Patial,23-Jul-2022 04:58 PM,finance_89336.pdf,BOQ Comparative Chart,1.0,276228.0,Ansh Trading company,INR,"1,288,600",1.0,276228.0,Ansh Trading company,07-Apr-2022 04:04 PM,Accepted-AOC,L1,10-Apr-2023,Technical,as per uploaded document,Dalip singh Patial,24-May-2022 12:50 PM,technical_89336.pdf
2.0,ICICI NEFT/RTGS,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276266.0,AVNET SOLUTIONS,07-Apr-2022 05:55 PM,Rejected-Finance,L2,23-Jul-2022,,,,,
,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,276627.0,Hipath Technologies,10-Apr-2022 01:01 AM,Rejected-Technical,Technically Not Qualified,24-May-2022,,,,,
,,,,.pdf,Compliance Sheet regarding makes and models as per BOQ as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Certificate of similar nature of work done as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,Finance,.xls,Bill Of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
