Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
07-Apr-2023,"INR 2,062,266",30.0,Jitender Kumar,07-Apr-2023 02:28 PM,AOC56292.PDF (402.00 KB),AOC,Er. J.K. Gupta,Internal,AE Padhar DAO Supdt. HDM,Jitender Kumar,07-Apr-2023 02:27 PM,finsummary_84626.pdf (434.17 KB),Er. J.K. Gupta,Internal,AE Padhar DAO HDM Supdt,Jitender Kumar,11-Feb-2022 12:31 PM,14-Feb-2022 11:00 AM,techsummary_84626.pdf (959.59 KB),PWD,2022_PWD_56292_1,PW-MDI-Tender-NIT- 18996-19031 dated 24.01.2022,Construction of link road Kunnu to Baridhar via Gajaun Km 0/0 to 13/0,Technical,summary,Jitender Kumar,11-Feb-2022 12:16 PM,technical_84626.pdf,1.0,261296.0,DEEP KUMARI,05-Feb-2022 02:49 PM,Rejected-Finance,L-4,07-Apr-2023,1.0,261302.0,PAWAN KUMAR,INR,"1,814,793.87",Finance,fbosummary,Jitender Kumar,15-Feb-2022 04:29 PM,finance_84626.pdf,BOQ Comparative Chart,"41,200",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,02-Feb-2022 11:00 AM,09-Feb-2022 11:30 AM,02-Feb-2022 11:00 AM,08-Feb-2022 05:00 PM,NA ,NA ,02-Feb-2022 11:00 AM,08-Feb-2022 05:00 PM,14-Feb-2022 11:00 AM,500.0,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Construction of link road Kunnu to Baridhar via Gajaun Km 0/0 to 13/0,Providing and laying soling in Km 2/600 to 4/500,As per bid documents ,NA ,"20,62,266",Civil Works - Roads,NA ,Tender,90.0,30.0,Kunnu,175012.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),PWD,PW-MDI-Tender-NIT- 18996-19031 dated 24.01.2022,2022_PWD_56292_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,261309.0,DEVENDER SINGH,05-Feb-2022 03:40 PM,Rejected-Finance,L-3,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,261768.0,LABH SINGH CONTRACTOR,07-Feb-2022 05:05 PM,Rejected-Finance,L-2,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,261302.0,PAWAN KUMAR,05-Feb-2022 03:13 PM,Accepted-AOC,AOC,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,
