Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"Er. B.M. Thakur, EE",Palampur Division HP.pWD Palampur,1.0,ICICI BANK,"58,200",No,fixed,,Nil,Nil,"P/M of D/sala Dadh PLP Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (AMP 2023-24 MDR Roads) (SH- P/L 30 MM thick B.C. with Paver finisher, Road marking strips of hot applied thermoplastic compound (Painting line) between Km 33/00 to 34/00)","P/M of D/sala Dadh PLP Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (AMP 2023-24 MDR Roads) (SH- P/L 30 MM thick B.C. with Paver finisher, Road marking strips of hot applied thermoplastic compound (Painting line) between Km 33/00 to 34/00)",Please refer Tender documents. ,NA ,"29,06,822",Civil Works - Roads,NA ,Tender,75.0,30.0,Palampur,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,"1,500",Nil,Nil,No,PWD,EE Plp NIT No. 18350-409 dt 24.01.2023,2023_PWD_67719_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,02-Feb-2023 10:00 AM,07-Feb-2023 11:30 AM,02-Feb-2023 10:00 AM,07-Feb-2023 11:00 AM,NA ,NA ,02-Feb-2023 10:00 AM,07-Feb-2023 11:00 AM,14-Feb-2023 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,1.0,320034.0,M/s Kamala Enterprises,06-Feb-2023 01:59 AM,Accepted-AOC,Accepted,22-Jul-2023,Technical,Technical bid opening summary,Manoj Sood,13-Feb-2023 05:58 PM,technical_102031.pdf,1.0,320034.0,M/s Kamala Enterprises,INR,"2,825,550",Finance,Financial bid opening summary,Manoj Sood,17-Feb-2023 10:34 AM,finance_102031.pdf,BOQ Comparative Chart,PWD,2023_PWD_67719_1,EE Plp NIT No. 18350-409 dt 24.01.2023,"P/M of D/sala Dadh PLP Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (AMP 2023-24 MDR Roads) (SH- P/L 30 MM thick B.C. with Paver finisher, Road marking strips of hot applied thermoplastic compound (Painting line) between Km 33/00 to 34/00)","Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,13-Feb-2023 05:59 PM,14-Feb-2023 12:00 PM,techsummary_102031.pdf (168.01 KB),"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,17-Feb-2023 10:37 AM,finsummary_102031.pdf (158.34 KB),27-Apr-2023,"INR 2,906,822",30.0,Manoj Sood,22-Jul-2023 12:43 PM,67719.pdf (420.00 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,320408.0,Sanjeev,06-Feb-2023 09:50 AM,Rejected-Finance,Bidder is found L2,17-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
