Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"1,500","District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",No,1.0,DD - Demand Draft,"C/o Flow Irrigation Scheme Barjohru to Kot at Village Barjohru , G.P. Noun, Tehsil Chachyot, District Mandi (H.P.).","C/o Flow Irrigation Scheme Barjohru to Kot at Village Barjohru , G.P. Noun, Tehsil Chachyot, District Mandi (H.P.).",Please refer Tender documents. ,NA ,"32,27,000",Civil Works - Water Works,NA ,Tender,90.0,365.0,"Village Barjohru , G.P. Noun, Tehsil Chachyot, Dis",175028.0,"District Project Manager, HPCDP (Phase-II), JICA-O ","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.).  ",10-Apr-2023 11:00 AM ,"District Project Manager, HPCDP (Phase-II), JICA-O",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"56,000",No,fixed,,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",04-Apr-2023 05:00 PM,18-Apr-2023 11:00 AM,04-Apr-2023 05:00 PM,17-Apr-2023 05:00 PM,NA ,NA ,04-Apr-2023 05:00 PM,17-Apr-2023 05:00 PM,18-Apr-2023 04:50 PM,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,F(5)-4/2022-04dt04.04.2023,2023_HPCDP_71921_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.).",28-Apr-2023,"INR 4,479,516",365.0,NAVNEET SOOD,15-Jun-2023 12:41 PM,Barjohrutokotawardletter.pdf (226.00 KB),Letter of Acceptance,Finance,Finnacial Evaluation Summarry,NAVNEET SOOD,21-Apr-2023 02:26 PM,finance_108198.pdf,BOQ Comparative Chart,Technical,Technical Evaluation Summary,NAVNEET SOOD,18-Apr-2023 04:28 PM,technical_108198.pdf,Navneet kumar sood,Internal,Pradeep Sharma Vivek Saklani Praveen Kumar Gupta OP Chauhan,NAVNEET SOOD,18-Apr-2023 04:44 PM,18-Apr-2023 04:50 PM,techsummary_108198.pdf (96.77 KB),1.0,342030.0,Basant Lal,14-Apr-2023 12:23 PM,Rejected-Finance,Reject,21-Apr-2023,Navneet kumar sood,Internal,"Pradeep Sharma, Praveen Gupta, O.P Chauhan, Vivek Saklani",NAVNEET SOOD,21-Apr-2023 03:07 PM,finsummary_108198.pdf (48.21 KB),Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,2023_HPCDP_71921_1,F(5)-4/2022-04dt04.04.2023,"C/o Flow Irrigation Scheme Barjohru to Kot at Village Barjohru , G.P. Noun, Tehsil Chachyot, District Mandi (H.P.).",1.0,342448.0,RAJ KUMAR,INR,"4,479,516"
,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342259.0,Raj Kumar,15-Apr-2023 08:02 PM,Rejected-Finance,Reject,21-Apr-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,342448.0,RAJ KUMAR,17-Apr-2023 02:05 PM,Accepted-AOC,Accept,15-Jun-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
