S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description
1.0,306341.0,Ramesh Rana Govt Contractor,INR,"862,350",Finance,Financial bid of three bidders open successfully,Sanjiv Kumar,28-Apr-2023 12:52 PM,finance_98942.pdf,BOQ Comparative Chart,Technical,three bidders participated in this work and found responsive.,Krishan Bhardwaj,13-Oct-2022 12:09 PM,technical_98942.pdf,1.0,306271.0,Nagu Ram,05-Oct-2022 03:11 PM,Rejected-Finance,Higher Side,28-Apr-2023,Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 12:55 PM,finsummary_98942.pdf (167.10 KB),28-Apr-2023,"INR 986,749",60.0,Sanjiv Kumar,28-Apr-2023 12:56 PM,AwardpotholeBaijnath.PDF (224.00 KB),PWD,2022_PWD_65753_1,PWD-BD-TA-2022-23-11357-406,A/Rand M/OVarious road under HPPWD Sub Division Baijnath,Xen HPPWD Baijnath,Internal,"HDM, SupdtGII, AO, AE Baijnath",Krishan Bhardwaj,13-Oct-2022 12:11 PM,13-Oct-2022 02:00 PM,techsummary_98942.pdf (882.13 KB),Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,A/Rand M/OVarious road under HPPWD Sub Division Baijnath,SH Repair of pot hole with G-II,Please refer Tender documents. ,NA ,"9,86,749",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,1.0,ICICI BANK,29-Sep-2022 05:00 PM,06-Oct-2022 11:30 AM,29-Sep-2022 05:00 PM,06-Oct-2022 11:00 AM,NA ,NA ,29-Sep-2022 05:00 PM,06-Oct-2022 11:00 AM,13-Oct-2022 02:00 PM,350.0,Nil,Nil,No,"19,800",No,fixed,,Nil,Nil,PWD,PWD-BD-TA-2022-23-11357-406,2022_PWD_65753_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F
,,,,,,,,,,,,,,,,2.0,306341.0,Ramesh Rana Govt Contractor,06-Oct-2022 07:35 AM,Accepted-AOC,lower side,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F
,,,,,,,,,,,,,,,,3.0,306430.0,Ravinder Rana,06-Oct-2022 10:32 AM,Rejected-Finance,Higher Side,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Contractor Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Clearance Copy and PAN Card
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD related him
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum similar nature work done amount not less than 40 percent of the estimated cost (without LD)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o
