Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
350.0,Nil,Nil,No,1.0,ICICI BANK,EE Hamirpur,Executive Engineer HPPWD Hamirpur,Beautification of Drainage System and Creation of facilities near Bus Stand Hamirpur,SH Construction of Rotatory System at RD 3/690 to 3/752 Extension of RCC Slab Culvert at RD 3/700 and C/o Retaining wall RD 4/240 to 4/250,Please refer Tender documents. ,NA ,"6,65,880",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"13,400",No,fixed,,Nil,Nil,PWD,Beautification near Bus Stand Hamirpur,2022_PWD_58939_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,01-Apr-2022 06:00 PM,08-Apr-2022 11:30 AM,01-Apr-2022 06:00 PM,08-Apr-2022 10:30 AM,NA ,NA ,01-Apr-2022 06:00 PM,08-Apr-2022 10:30 AM,12-Apr-2022 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,12-Apr-2022 03:22 PM,12-Apr-2022 03:30 PM,techsummary_89152.pdf (1025.73 KB),PWD,2022_PWD_58939_1,Beautification near Bus Stand Hamirpur,Beautification of Drainage System and Creation of facilities near Bus Stand Hamirpur,20-Apr-2023,"INR 745,015",30.0,Deepak Kapil,20-Apr-2023 05:07 PM,BusSatndAward.pdf (1682.00 KB),AWARD,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,16-Aug-2022 03:44 PM,finsummary_89152.pdf (715.01 KB),1.0,276326.0,AASHISH KUMAR,INR,"84,866.25",Finance,Attached,Sanjay Katoch,10-Aug-2022 11:28 AM,finance_89152.pdf,BOQ Comparative Chart,1.0,276326.0,AASHISH KUMAR,07-Apr-2022 10:59 PM,Accepted-AOC,L1,20-Apr-2023,Technical,Attached,Vivek Sharma,12-Apr-2022 03:20 PM,technical_89152.pdf
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276304.0,SATISH KUMAR SHARMA,07-Apr-2022 09:44 PM,Rejected-Finance,l2,16-Aug-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
