S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
1.0,ICICI BANK,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,1.0,Rate showing in BOQ on column No 6 and 53 may read as excluding GST instead of including GST.,Other,,Periodic Maintenance of Kangoo da Paroh Salehra road (PMGSY Road ) DRRP No HP0403VR006412303 . (AMP 2023-24),"Providing and Laying Built up spray GroutSingle layer, Tack Coat and 30 mm thick Bituminous concrete at Km 2/00 to 3/00",Please refer Tender documents. ,NA ,"11,90,059",Civil Works - Roads,NA ,Tender,60.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,PWD,PWD-BD-TA-2022-23-20743-93,2023_PWD_70809_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"23,800",No,fixed,,Nil,Nil,15-Mar-2023 12:00 PM,22-Mar-2023 11:30 AM,15-Mar-2023 12:00 PM,22-Mar-2023 11:00 AM,NA ,NA ,15-Mar-2023 12:00 PM,22-Mar-2023 11:00 AM,03-Apr-2023 11:00 AM,1.0,336092.0,G.P.ACHARYA,21-Mar-2023 04:04 PM,Rejected-Finance,Higher Side,28-Apr-2023,Technical,Two bidders participated in this work and found responsive. Hence committee decided to open the financial bid,Sanjiv Kumar,31-Mar-2023 12:30 PM,technical_106716.pdf,1.0,336828.0,VISHAL RAJPUT,INR,"1,248,968",Finance,Financial bid of two bidders open successfully,Sanjiv Kumar,28-Apr-2023 04:12 PM,finance_106716.pdf,BOQ Comparative Chart,PWD,2023_PWD_70809_1,PWD-BD-TA-2022-23-20743-93,Periodic Maintenance of Kangoo da Paroh Salehra road (PMGSY Road ) DRRP No HP0403VR006412303 . (AMP 2023-24),Xen HPPWD Baijnath,Internal,"Divisional Accountant, Head Draughtsman, SupdtGII, Assistant Engineer",Sanjiv Kumar,31-Mar-2023 12:31 PM,03-Apr-2023 11:00 AM,techsummary_106716.pdf (267.02 KB),Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 04:13 PM,finsummary_106716.pdf (152.00 KB),28-Apr-2023,"INR 1,190,059",60.0,Sanjiv Kumar,28-Apr-2023 04:14 PM,Awardkangooda.PDF (186.00 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,336828.0,VISHAL RAJPUT,21-Mar-2023 03:34 PM,Accepted-AOC,Lower Side,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,GST Registration PAN Card and EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Minimum similar nature of workdone 40percent of the estimated cost.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Machinery with proof of ownership if hiring affidavit of consent required from owner of machinery a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit regarding Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Undertaking regarding arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
