Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Name,Address,S.No.2,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 11:52 AM,finsummary_106763.pdf (151.63 KB),28-Apr-2023,"INR 3,655,907",60.0,Sanjiv Kumar,28-Apr-2023 11:53 AM,Awarddadh57-61.PDF (187.00 KB),PWD,2023_PWD_70841_1,PWD-BD-TA-2022-23-20743-93,Periodic Maintenance of Dharmshala Dadh Palampur Holta Chadhiar Road (MDR Road ) (AMP 2023-24),Xen HPPWD Baijnath,Internal,"Divisional Accountant, Head Draughtsman, SupdtGII, Assistant Engineer",Sanjiv Kumar,31-Mar-2023 12:28 PM,03-Apr-2023 11:00 AM,techsummary_106763.pdf (271.61 KB),Technical,Two bidders participated in this work and found responsive. Hence committee decided to open the financial bid,Sanjiv Kumar,31-Mar-2023 12:27 PM,technical_106763.pdf,1.0,336791.0,ANURAG SHARMA,21-Mar-2023 06:36 PM,Rejected-Finance,higher side,28-Apr-2023,Finance,Financial bid of two bidders open successfully.,Sanjiv Kumar,28-Apr-2023 11:49 AM,finance_106763.pdf,BOQ Comparative Chart,1.0,336123.0,G.P.ACHARYA,INR,"3,836,875",Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,ICICI BANK,1.0,Rate showing in BOQ on column No 6 and 53 may read as excluding GST instead of including GST.,Other,,"1,500",Nil,Nil,No,15-Mar-2023 02:00 PM,22-Mar-2023 11:30 AM,15-Mar-2023 02:00 PM,22-Mar-2023 11:00 AM,NA ,NA ,15-Mar-2023 02:00 PM,22-Mar-2023 11:00 AM,03-Apr-2023 11:00 AM,Periodic Maintenance of Dharmshala Dadh Palampur Holta Chadhiar Road (MDR Road ) (AMP 2023-24),"Providing and Laying Built up spray Grout Single layer, Tack Coat and 30 mm thick Bituminous concrete at Km 57/0 to 58/0, 59/0 to 60/0 and 60/0 to 61/0",Please refer Tender documents. ,NA ,"36,55,907",Civil Works - Roads,NA ,Tender,60.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,PWD,PWD-BD-TA-2022-23-20743-93,2023_PWD_70841_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,"73,200",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,336123.0,G.P.ACHARYA,21-Mar-2023 05:09 PM,Accepted-AOC,lower side,28-Apr-2023,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration PAN Card and EPF No,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum similar nature of workdone 40percent of the estimated cost,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership if hiring affidavit of consent required from owner of machinery a/,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding arbitration / litigation with PWD is pending in any court of law.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Staff as mentioned in SBD.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Lab equipment detail a s per SBD.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,
