Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,Technical Bid Opening Summary,Bhupender Pal,18-Aug-2022 04:18 PM,technical_95614.pdf,1.0,295735.0,A.A. ENTREPRENEURS,15-Aug-2022 06:44 PM,Rejected-Finance,Being L3,17-Nov-2022,Finance,Financial Summary,Pradeep Singh,17-Nov-2022 03:49 PM,finance_95614.pdf,BOQ Comparative Chart,1.0,295654.0,Tushar Saini Govt. Contractor,INR,"3,661,445",19-Apr-2023,"INR 4,068,272",30.0,Bhupender Pal,19-Apr-2023 12:12 PM,AwardLetter.pdf (542.00 KB),Award Letter,EE Pradeep Singh,Internal,"AE to EE, Supdt. G-II, DAO",Pradeep Singh,17-Nov-2022 03:53 PM,finsummary_95614.pdf (183.71 KB),EE Pradeep Thakur,Internal,"AE to EE, Supdt. G-II, DAO",Pradeep Singh,26-Aug-2022 11:35 AM,26-Aug-2022 11:40 AM,techsummary_95614.pdf (525.32 KB),PWD,2022_PWD_63413_1,EE Nerchowk Letter No 8891-8920 dated 26.07.2022,C/O 82.00 mtr span double lane bridge over Suketi Khad at Lassi Ka Padhar to Sai Bhardwan link road,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,05-Aug-2022 01:30 PM,16-Aug-2022 11:30 AM,05-Aug-2022 01:30 PM,16-Aug-2022 11:00 AM,NA ,NA ,05-Aug-2022 01:30 PM,16-Aug-2022 11:00 AM,26-Aug-2022 11:40 AM,1.0,ICICI BANK,PWD,EE Nerchowk Letter No 8891-8920 dated 26.07.2022,2022_PWD_63413_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender document,"82,000",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,Executive Engineer HPPWD Division Nerchowk,HPPWD Division Nerchowk,C/O 82.00 mtr span double lane bridge over Suketi Khad at Lassi Ka Padhar to Sai Bhardwan link road,"Providing and Laying Metalling and Tarring in approaches portion preparation of subgrade and P/L WBM G-I, G-II, G-III and parapets etc.",Please refer Tender documents. ,NA ,"40,68,272",Civil Works,NA ,Tender,120.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No
,,,,,2.0,295476.0,Amit kumar,15-Aug-2022 04:37 PM,Rejected-Finance,Being L2,17-Nov-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,295525.0,Nikhil Thakur,14-Aug-2022 12:12 PM,Rejected-Finance,Being L4,17-Nov-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,295722.0,PAWAN KUMAR,15-Aug-2022 05:49 PM,Rejected-Technical,Non-Responsive,26-Aug-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.0,295654.0,Tushar Saini Govt. Contractor,16-Aug-2022 10:31 AM,Accepted-AOC,Being L1,19-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
