Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
02-Apr-2022 06:00 PM,11-Apr-2022 11:30 AM,02-Apr-2022 06:00 PM,11-Apr-2022 10:00 AM,NA ,NA ,02-Apr-2022 06:00 PM,11-Apr-2022 10:00 AM,27-May-2022 11:30 AM,500.0,Nil,Nil,No,PWD,Elect. HPPWD Palampur,2022_PWD_59019_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,C/O Ware house for Storage of EVMs and VVPATs at Baloo near Chamba in Tehsil and Distt. Chamba (HP) (SH- Providing Wireless Fire Alarm system therein),C/O Ware house for Storage of EVMs and VVPATs at Baloo near Chamba in Tehsil and Distt. Chamba (HP) (SH- Providing Wireless Fire Alarm system therein),Please refer Tender documents. ,NA ,"10,56,000",Electrical Works,NA ,Tender,120.0,365.0,Chamba in Distt. Chamba,176061.0,NA ,NA ,NA ,Palampuur,No ,No,"21,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and earnest money deposited,Executive Engineer,Elect. Division HPPWD Palampur,Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Shakti Chandi Sr. Asstt Sh. Atul Nag JDM,Dalip singh Patial,24-May-2022 01:08 PM,27-May-2022 11:30 AM,techsummary_89339.pdf (226.14 KB),PWD,2022_PWD_59019_7,Elect. HPPWD Palampur,C/O Ware house for Storage of EVMs and VVPATs at Baloo near Chamba in Tehsil and Distt. Chamba (HP) (SH- Providing Wireless Fire Alarm system therein),10-Apr-2023,"INR 1,056,000",365.0,Dalip singh Patial,10-Apr-2023 03:20 PM,AOC-59019-7.pdf (883.00 KB),Awarded vide this office letter No. 3880-85 dated 28.07.2022,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO JDM of this office,Dalip singh Patial,23-Jul-2022 05:05 PM,finsummary_89339.pdf (145.88 KB),1.0,276200.0,Ansh Trading company,INR,"1,037,200",Finance,as per uploaded document,Dalip singh Patial,23-Jul-2022 05:03 PM,finance_89339.pdf,BOQ Comparative Chart,1.0,276200.0,Ansh Trading company,07-Apr-2022 03:30 PM,Accepted-AOC,L1,10-Apr-2023,Technical,as per uploaded document,Dalip singh Patial,24-May-2022 01:06 PM,technical_89339.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276205.0,AVNET SOLUTIONS,07-Apr-2022 05:36 PM,Rejected-Finance,L2,23-Jul-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance Sheet regarding makes and models as per BOQ as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of similar nature of work done as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
