Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,"91,200",No,fixed,,Nil,Nil,"Periodical Maintenance on Banethi Bagthan Rajgarh Chandol road in Km. 48/0 to 82/0 (SH Providing Laying renewal coat by providing WBM G-III, PC for patch work, BC 30mm thick in Km. 51/0 to 55/0 , Under AMP 2021-22","Periodical Maintenance on Banethi Bagthan Rajgarh Chandol road in Km. 48/0 to 82/0 (SH Providing Laying renewal coat by providing WBM G-III, PC for patch work, BC 30mm thick in Km. 51/0 to 55/0 , Under AMP 2021-22",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,1.0,ICICI BANK,"2,000",Nil,Nil,No,PWD,Notice no. 10867 dated 17.03.2021,2021_PWD_45791_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,20-Mar-2021 02:00 PM,25-Mar-2021 03:30 PM,20-Mar-2021 02:00 PM,25-Mar-2021 03:00 PM,NA ,NA ,20-Mar-2021 02:00 PM,25-Mar-2021 03:00 PM,09-Apr-2021 02:15 PM,Finance,SUMMARY,Narender verma,27-May-2021 06:42 PM,finance_68942.pdf,BOQ Comparative Chart,1.0,205578.0,Ranjeet Singh,INR,"5,540,177",1.0,205765.0,naresh vij govt contractor,25-Mar-2021 10:14 AM,Rejected-Finance,L2,12-Apr-2023,Technical,SUMMARY,Narender verma,09-Apr-2021 01:07 PM,technical_68942.pdf,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE, Sh.Ghanshyam Dass Supdt. G-II, Sh.Krishan Singh Supdt. G-II, Smt.Asha Kamal DHD, Sh. Ghan Shyam Jr. Asstt.",Narender verma,09-Apr-2021 01:41 PM,09-Apr-2021 02:15 PM,techsummary_68942.pdf (1611.71 KB),PWD,2021_PWD_45791_1,Notice no. 10867 dated 17.03.2021,"Periodical Maintenance on Banethi Bagthan Rajgarh Chandol road in Km. 48/0 to 82/0 (SH Providing Laying renewal coat by providing WBM G-III, PC for patch work, BC 30mm thick in Km. 51/0 to 55/0 , Under AMP 2021-22",12-Apr-2023,"INR 5,866,774",60.0,Ram Singh Thakur,12-Apr-2023 03:24 PM,AOC..pdf (1152.00 KB),work awarded to Sh. Ranjeet Singh Govt. contractor,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE Sh.Ghanshyam Dass Supdt. G-II,Smt. Asha Devi HDM,Sh. Krishan Singh Supdt. G-II., Sh. Ghan Shyam Jr.Asstt.",Ram Singh Thakur,12-Apr-2023 03:22 PM,finsummary_68942.pdf (1132.84 KB)
,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,205578.0,Ranjeet Singh,23-Mar-2021 11:32 PM,Accepted-AOC,L1,12-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES CONDITIONS, Rule Sr. No 24.8 Form No 8 duly sign",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Financial turnover in any of the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
