S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,"1,20,300",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,PWD,NAGROTA-AMP-2023-24,2023_PWD_67411_24,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodic maintenance of Busal Naryalkar Sipanpatt Baroh road (HP0406VR0306) (Village Road) under Annual Maintenance Plan for the year 2023-24 in Distt Kangra (HP),"Providing and laying 30mm thick bituminous concrete pavement in Km 0/000 to 1/000, 1/000 to 2/000, 2/000 to 3/000, 3/000 to 4/000 and 4/000 to 4/430)",Please refer Tender documents. ,NA ,"60,14,298",Civil Works - Roads,NA ,Tender,120.0,30.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o E E HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,O/o E E HP PWD Division Tanda at Nagrota Bagwan,01-Feb-2023 05:00 PM,07-Feb-2023 11:30 AM,01-Feb-2023 05:00 PM,07-Feb-2023 09:00 AM,NA ,NA ,01-Feb-2023 05:00 PM,07-Feb-2023 09:00 AM,10-Feb-2023 10:30 AM,"2,000",Nil,Nil,No,1.0,319748.0,Ujjawal Singh,INR,"6,248,761",10-Apr-2023,"INR 6,014,298",30.0,Suresh Kumar Walia,10-Apr-2023 12:56 PM,DOC041023-04102023120208.pdf (584.00 KB),Award,PWD,2023_PWD_67411_24,NAGROTA-AMP-2023-24,Periodic maintenance of Busal Naryalkar Sipanpatt Baroh road (HP0406VR0306) (Village Road) under Annual Maintenance Plan for the year 2023-24 in Distt Kangra (HP),Executive Engineer,Internal,"AE, DAO, Supdt, HDM",Suresh Kumar Walia,04-Mar-2023 12:18 PM,finsummary_102240.pdf (244.74 KB),Finance,sum,Suresh Kumar Walia,04-Mar-2023 12:17 PM,finance_102240.pdf,BOQ Comparative Chart,1.0,319748.0,Ujjawal Singh,05-Feb-2023 01:30 PM,Accepted-AOC,Award,10-Apr-2023,Executive Engineer,Internal,"AE, D.A.O., Supdt Gr-II,HDM",Suresh Kumar Walia,09-Feb-2023 04:06 PM,10-Feb-2023 10:30 AM,techsummary_102240.pdf (947.79 KB),Technical,sum,Suresh Kumar Walia,09-Feb-2023 04:05 PM,technical_102240.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320097.0,VP SHARMA,04-Feb-2023 12:13 PM,Rejected-Finance,Lowest 2,04-Mar-2023,,,,,,,,,,,,
,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
