Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
22-Apr-2023,"INR 1,932,830",90.0,Dalip singh Patial,22-Apr-2023 01:57 PM,award_dg_bal_work.pdf (949.00 KB),Awarded to the lowest contractor,Sh. Dalip Singh Patial Executive Engineer,Internal,as per uploaded document,Dalip singh Patial,13-Mar-2023 07:21 PM,finsummary_105215.pdf (22.37 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,09-Mar-2023 12:14 PM,13-Mar-2023 11:30 AM,techsummary_105215.pdf (244.61 KB),PWD,2023_PWD_69758_1,Elect. Division HPPWD Palampur,"C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda. (SH- SITC of 750 KVA DG Set, Balance work therein)",Finance,as per uploaded document,Dalip singh Patial,13-Mar-2023 07:19 PM,finance_105215.pdf,BOQ Comparative Chart,1.0,330125.0,Deepak Sood,INR,"1,889,342",Technical,as per uploaded document,Dalip singh Patial,09-Mar-2023 12:04 PM,technical_105215.pdf,1.0,330125.0,Deepak Sood,05-Mar-2023 06:37 AM,Accepted-AOC,L1,22-Apr-2023,1.0,ICICI BANK,Executive Engineer,Elect. Division HPPWD Palampur,27-Feb-2023 05:00 PM,06-Mar-2023 11:30 AM,27-Feb-2023 05:00 PM,06-Mar-2023 10:00 AM,NA ,NA ,27-Feb-2023 05:00 PM,06-Mar-2023 10:00 AM,13-Mar-2023 11:30 AM,500.0,Nil,Nil,No,"C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda. (SH- SITC of 750 KVA DG Set, Balance work therein)","C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda. (SH- SITC of 750 KVA DG Set, Balance work therein)",Please refer Tender documents. ,NA ,"19,32,830",Electrical Works,NA ,Tender,120.0,90.0,Kangra at Tanda in Distt. Kangra,176001.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,PWD,Elect. Division HPPWD Palampur,2023_PWD_69758_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"36,500",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,331468.0,SHARMA ELECTRICAL CO.,04-Mar-2023 04:19 PM,Rejected-Finance,L2,13-Mar-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (General Conditions of Contract) duly signed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor duly signed,,,,,,,,,,,,,,,,,,,,
