Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Er. S.K Dhiman EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Er. Ajay Sood AE,Suresh Kumar Dhiman,25-Apr-2023 03:47 PM,finsummary_108123.pdf (359.94 KB),28-Apr-2023,"INR 1,758,357",90.0,Suresh Kumar Dhiman,30-May-2023 12:57 PM,AOC.pdf (261.00 KB),Detail attached,PWD,2023_PWD_71859_3,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,Periodical Maintenance on Chubhalu to Farsh road km 0.0 to 4.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 3.0 to 4.0) AMP for the year 2023 24 Village Roads.,Er. S.K Dhiman EE,Internal,Sh. Keshav Ram Supdtt 2. Sh. Jagdish Thakur DHD 3. Sh. Amit Naggar DAO 4. Sh. Govind Singh Thakur AE,Suresh Kumar Dhiman,18-Apr-2023 03:12 PM,18-Apr-2023 03:20 PM,techsummary_108123.pdf (253.36 KB),Finance,Detail attached.,Suresh Kumar Dhiman,25-Apr-2023 03:12 PM,finance_108123.pdf,BOQ Comparative Chart,1.0,341646.0,GORSI CONSTRUCTION PVT LTD,INR,"1,758,357",Technical,Summary attached,Suresh Kumar Dhiman,18-Apr-2023 03:02 PM,technical_108123.pdf,1.0,341646.0,GORSI CONSTRUCTION PVT LTD,12-Apr-2023 12:33 PM,Accepted-AOC,L1,30-May-2023,04-Apr-2023 05:00 PM,13-Apr-2023 11:30 AM,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,NA ,NA ,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,18-Apr-2023 03:20 PM,1.0,ICICI BANK,Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout,"33,600",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,PWD,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,2023_PWD_71859_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Periodical Maintenance on Chubhalu to Farsh road km 0.0 to 4.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 3.0 to 4.0) AMP for the year 2023 24 Village Roads.,Periodical Maintenance on Chubhalu to Farsh road km 0.0 to 4.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 3.0 to 4.0) AMP for the year 2023 24 Village Roads.,Please refer Tender documents. ,NA ,"16,76,223",Civil Works,NA ,Tender,120.0,90.0,Panarsa,175121.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341805.0,SANDEEP KUMAR SHARMA,12-Apr-2023 02:20 PM,Rejected-Finance,L2,25-Apr-2023,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Earnest Money as per Tender Document,,,,,,,,,,,,,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished with The Bid Is Correct in All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
