Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address
HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2023_HPIPH_68936_1,11591 -630 dated 15/02/2023,PLWSS from Jhutharu Nallah to Shri Dev Prashar Temple in GP Segli Tehsil Sadar Distt Mandi HP NABARD XXVII,1.0,326123.0,GANTANTAR THAKUR,INR,"9,249,996",Er Rohit Dubey SE,Internal,Er Satya Sharma EE D ErVivek Hazri EE Er Dinesh Rana AE D Sh Bishan Datt CHD Dharmender Kumar Supdt W,Vivek Hazri,03-Apr-2023 03:13 PM,finsummary_103958.pdf (8447.77 KB),Er. Rohot Dubey SE,Internal,"Er. satya Sharma EE D Er. Vivek Hazri EE, Er Dinesh Rana AE D, Sh. Bhushan Dutt Sharma CHD, Sh. Dharmender Kumar Supdt (W)",Vivek Hazri,01-Mar-2023 01:29 PM,01-Mar-2023 01:30 PM,techsummary_103958.pdf (666.06 KB),1.0,325542.0,Bharat Engg and Suppliers,19-Feb-2023 10:55 PM,Rejected-Finance,Higher rate quoted,03-Apr-2023,03-Apr-2023,"INR 9,249,996",365.0,Vivek Hazri,03-Apr-2023 03:26 PM,Award.pdf (8023.00 KB),Lowest rate quoted to the contractor,Finance,Six bidder BOQ and comparative chart downloaded successfully.,Vivek Hazri,01-Mar-2023 01:42 PM,finance_103958.pdf,BOQ Comparative Chart,Technical,6 Nos. Bidder are eligible for opening the financial bid,Vivek Hazri,01-Mar-2023 01:26 PM,technical_103958.pdf,"1,08,200",Yes,fixed,,EE Padhar,Padhar,PLWSS from Jhutharu Nallah to Shri Dev Prashar Temple in GP Segli Tehsil Sadar Distt Mandi HP NABARD XXVII,"SH Supply and Installation of Submersible Pumping Machinery Ist stage 2x75 BHP and 2nd stage 2x90 BHP, Rising Main 65 mm dia Laying, Jointing, Testing and Carriage of GI pipe flanged with butt welding Gravity Main 80mm dia 1280 Rmt C O Pump H",Please refer Tender documents. ,NA ,"75,65,156",Pumps/Motors,NA ,Tender,120.0,365.0,Prashar,175005.0,NA ,NA ,NA ,Execurtive Engineer JS Division Padhar,No ,No,15-Feb-2023 05:00 PM,22-Feb-2023 11:30 AM,15-Feb-2023 05:00 PM,21-Feb-2023 05:00 PM,NA ,NA ,15-Feb-2023 05:00 PM,21-Feb-2023 05:00 PM,01-Mar-2023 01:30 PM,1.0,ICICI BANK,800.0,EE Padhar,Padhar,No,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,11591 -630 dated 15/02/2023,2023_HPIPH_68936_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Scan copy of cost of tender form if offline or proof if online,Execurtive Engineer JS Division Padhar,Executive Engineer JS Division Padhar
,,,,,,,,,,,,,,,,,,,,,,2.0,326123.0,GANTANTAR THAKUR,21-Feb-2023 11:25 AM,Accepted-AOC,Lowest rate quoted,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of cost of EMD if offline or proof of EMD if online,,
,,,,,,,,,,,,,,,,,,,,,,3.0,326049.0,KUSHAL SINGH RAGHAV,21-Feb-2023 02:09 PM,Rejected-Finance,Higher rate quoted,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scan copy of GST, PAN No. and Income tax registration",,
,,,,,,,,,,,,,,,,,,,,,,4.0,326182.0,Naik Electrical Works,21-Feb-2023 12:44 PM,Rejected-Finance,Higher rate quoted,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of enlistment with Jal Shakti Vibhag in appropriate class as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,5.0,326272.0,Saurabh Vasudeva,21-Feb-2023 03:02 PM,Rejected-Finance,Higher rate quoted,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of undertaking that I have carefully studies all term and condition as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,6.0,326292.0,Sunny Kapoor,21-Feb-2023 03:59 PM,Rejected-Finance,Higher rate quoted,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of DSC authorization as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of undertaking if use exemption as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of the similar nature of work issued by an officer not below the rank of Executive Engine,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Curve Chart as per site condition,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,
