Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
09-Sep-2021 12:00 PM,17-Sep-2021 12:30 PM,09-Sep-2021 12:00 PM,16-Sep-2021 05:00 PM,NA ,NA ,09-Sep-2021 12:00 PM,16-Sep-2021 05:00 PM,24-Sep-2021 05:45 PM,EE Shillai,Executive engineer HP PWD Sillai,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,"1,500",Nil,Nil,No,"48,650",No,fixed,,Nil,Nil,PWD,PW-TA-2021-7283-7382dt-26-8-21,2021_PWD_52109_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Construction of Shillai Pashmi Bali Koti Kandyari road Km 0/0 to 12/0 (SH- C/o 5/7 Mtr wide road, Providing and laying essential C.D. works and Providing laying 90mm to 40mm size Grade-I in Km 5/600 to 12/0)(SW- Construction of C.D. works 900 mm d","Construction of Shillai Pashmi Bali Koti Kandyari road Km 0/0 to 12/0 (SH- C/o 5/7 Mtr wide road, Providing and laying essential C.D. works and Providing laying 90mm to 40mm size Grade-I in Km 5/600 to 12/0)(SW- Construction of C.D. works 900 mm d",Please refer to tender document ,NA ,"27,40,674",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,PWD,2021_PWD_52109_7,PW-TA-2021-7283-7382dt-26-8-21,"Construction of Shillai Pashmi Bali Koti Kandyari road Km 0/0 to 12/0 (SH- C/o 5/7 Mtr wide road, Providing and laying essential C.D. works and Providing laying 90mm to 40mm size Grade-I in Km 5/600 to 12/0)(SW- Construction of C.D. works 900 mm d",EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,24-Sep-2021 05:39 PM,24-Sep-2021 05:45 PM,techsummary_77881.pdf (481.36 KB),EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,18-Oct-2021 11:36 AM,finsummary_77881.pdf (138.38 KB),28-Apr-2023,"INR 1,697,054",90.0,Narender verma,28-Apr-2023 04:55 PM,52109-7.pdf (657.00 KB),AOC,1.0,236068.0,rambhaj,INR,"1,697,054",Finance,financial summary,Pramod Upreti,18-Oct-2021 11:30 AM,finance_77881.pdf,BOQ Comparative Chart,1.0,236062.0,BAJURAM CONTRACTOR,16-Sep-2021 12:41 PM,Rejected-Finance,Not lowest,18-Oct-2021,Technical,technical summary,Pramod Upreti,24-Sep-2021 05:22 PM,technical_77881.pdf
,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,235837.0,jiwlu ram,15-Sep-2021 12:30 PM,Rejected-Finance,Not lowest,18-Oct-2021,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,236068.0,rambhaj,16-Sep-2021 12:29 PM,Accepted-AOC,AOC,28-Apr-2023,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,235896.0,SATISH KUMAR,15-Sep-2021 02:22 PM,Rejected-Finance,Not lowest,18-Oct-2021,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,236063.0,THAKUR CONSTRUCTION,16-Sep-2021 12:15 PM,Rejected-Finance,Not lowest,18-Oct-2021,,,,,
,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
