Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Bank Name
Finance,Rajinder is L1,Tarsem Singh,04-Mar-2022 04:36 PM,finance_85895.pdf,BOQ Comparative Chart,1.0,266183.0,Rajinder Singh Negi,INR,"14,733,224",Technical,2 Nos. of bids received.,Tarsem Singh,04-Mar-2022 02:35 PM,technical_85895.pdf,1.0,266519.0,Arun Negi,24-Feb-2022 03:15 PM,Rejected-Finance,OK,04-Mar-2022,26-Apr-2023,"INR 14,733,224",90.0,Tarsem Singh,26-Apr-2023 02:38 PM,1.pdf (769.00 KB),Contract is awarded to Lowest Rate Contractor Sh. Rajinder Singh Negi.,Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,04-Mar-2022 04:40 PM,finsummary_85895.pdf (644.34 KB),Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,04-Mar-2022 02:38 PM,04-Mar-2022 02:45 PM,techsummary_85895.pdf (546.09 KB),PWD,2022_PWD_56944_1,PW-JD/E-Tender/2021-22 -9702-04 DT7.2.2022,Restoration of rain damages to Jubbal Kenchi to Santoshinager Road Km 0/0 to 6/0,18-Feb-2022 01:45 PM,25-Feb-2022 11:30 AM,18-Feb-2022 01:45 PM,24-Feb-2022 06:00 PM,NA ,NA ,18-Feb-2022 01:45 PM,24-Feb-2022 06:00 PM,04-Mar-2022 02:45 PM,"2,81,570",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,Eexcetive Engineer Jubbal,HPPWD Jubbal,PWD,PW-JD/E-Tender/2021-22 -9702-04 DT7.2.2022,2022_PWD_56944_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Restoration of rain damages to Jubbal Kenchi to Santoshinager Road Km 0/0 to 6/0,Providing 30mm thick Bitumioous concrete in Km 0/0 to 6/0,Please refer Tender documents. ,NA ,"1,40,78,524",Civil Works - Roads,NA ,Tender,120.0,90.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,1.0,ICICI BANK
,,,,,,,,,,,,,,,,2.0,266183.0,Rajinder Singh Negi,23-Feb-2022 06:12 PM,Accepted-AOC,ok,26-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as per Tender Document,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,
