Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Er. K.K. Kaushal,Internal,EE(D) EEMDI DAO,Jitender Kumar,07-Apr-2023 02:02 PM,finsummary_78668.pdf (555.96 KB),07-Apr-2023,"INR 73,794,228",365.0,Jitender Kumar,07-Apr-2023 02:03 PM,AOC52619.PDF (481.00 KB),AOC,PWD,2021_PWD_52619_1,PW-MDI-E-Tender-NIT-6954-89 dated 16.08.2021,Construction of Kataula Bodandhar Kundakh Tihri Kalang Patons road Km 0/0 to 16/750 Under NABARD RIDF-XXIII,Er. K. K. Kaushal S.E.,Internal,"Sh. Nirman Mohan Divisional Accounts Officer Gr.1 HPPWD Mandi Division No.I, Er. Suresh Kumar Dhiman EE HPPWD Mandi Division No.I, Er. Jagesh Vaidya EED 1st Circle HPPWD Mandi",Jitender Kumar,08-Oct-2021 05:22 PM,12-Oct-2021 11:00 AM,techsummary_78668.pdf (5558.63 KB),1.0,238916.0,Dinesh Kumar Sharma Const. (P) Ltd,INR,"49,028,762",Finance,Seven financial bids opened.,Jitender Kumar,12-Oct-2021 01:42 PM,finance_78668.pdf,BOQ Comparative Chart,Technical,summary,Jitender Kumar,04-Oct-2021 05:02 PM,technical_78668.pdf,1.0,239057.0,Ajmer Singh,03-Oct-2021 09:01 PM,Rejected-Finance,L-5,07-Apr-2023,Construction of Kataula Bodandhar Kundakh Tihri Kalang Patons road Km 0/0 to 16/750 Under NABARD RIDF-XXIII,"Formation cutting 5/7 mtr. wide, construction of retaining walls, cross drainage works, Parapets, wire crates in dumping sites, essential soling and un-lined surface drain in portion Tihri to Patons Km 2/0 to 16/750",As per bid documents ,NA ,"7,37,94,228",Civil Works - Roads,NA ,Tender,120.0,365.0,Mandi,175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn. No. I HPPWD, Mandi",No ,No,"14,76,000",No,fixed,,"Executive Engineer, Mandi Divn. No. I HPPWD, Mandi",Mandi,PWD,PW-MDI-E-Tender-NIT-6954-89 dated 16.08.2021,2021_PWD_52619_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as per Section-1 Point No.3,"Executive Engineer, Mandi Divn. No. I HPPWD, Mandi","Executive Engineer, Mandi Divn. No. I HPPWD, Mandi",23-Sep-2021 02:00 PM,04-Oct-2021 11:30 AM,23-Sep-2021 02:00 PM,04-Oct-2021 11:00 AM,NA ,NA ,23-Sep-2021 02:00 PM,04-Oct-2021 11:00 AM,12-Oct-2021 11:00 AM,"5,000","Executive Engineer, Mandi Divn. No. I HPPWD, Mandi",Mandi,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,239028.0,Ashadeep Construction Pvt Ltd,02-Oct-2021 03:14 PM,Rejected-Technical,Non-Responsive,08-Oct-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Bid Security as per Section-2 C1-16.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,238986.0,Avinash Dhiman,03-Oct-2021 12:55 PM,Rejected-Finance,L-2,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Qualification information as per Q-1 Section 3 (1.1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,238987.0,BHAGASIDH CONSTRUCTION and ENGINEERING PVT LTD,01-Oct-2021 06:57 PM,Rejected-Finance,L-4,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,239044.0,CHAMAN LAL,02-Oct-2021 04:19 PM,Rejected-Technical,Non-Responsive,08-Oct-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.4), (1.5)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,238916.0,Dinesh Kumar Sharma Const. (P) Ltd,04-Oct-2021 09:27 AM,Accepted-AOC,AOC,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.2), (1.7)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,239059.0,MSC Roads and Bridges Private Limited,02-Oct-2021 06:30 PM,Rejected-Finance,L-3,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,239001.0,Munish kumar sharma,02-Oct-2021 04:39 PM,Rejected-Finance,L-6,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 2 C1 (4.2, 4.4- A and B)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,239003.0,Nveen Sharma,02-Oct-2021 12:38 PM,Rejected-Finance,L-7,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/ firm may likes to provide,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid for Part-II of the Bid as per format given in Section-6,,,,,,,,,,,,,,,
