Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name
"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt,HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,16-Feb-2023 05:59 PM,finsummary_102026.pdf (156.77 KB),26-Apr-2023,"INR 3,030,936",30.0,Sarthak Kumar,01-Dec-2023 03:39 PM,67714.pdf (414.00 KB),AOC,PWD,2023_PWD_67714_1,EE Plp NIT No. 18350-409 dt 24.01.2023,Periodic Maintenance of Dharamshala Dadh Palampur Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (Under AMP 2023-24 MDR Roads) (SH- Providing and laying 30 MM thick Bitumen concrete with Paver finisher between Km 25/00 to 26/00),"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,13-Feb-2023 05:39 PM,14-Feb-2023 12:00 PM,techsummary_102026.pdf (164.48 KB),Technical,Technical bid opening summary,Manoj Sood,13-Feb-2023 05:37 PM,technical_102026.pdf,1.0,320039.0,M/s Kamala Enterprises,06-Feb-2023 02:06 AM,Accepted-AOC,AOC,01-Dec-2023,Finance,Financial bid opening summary,Manoj Sood,16-Feb-2023 05:56 PM,finance_102026.pdf,BOQ Comparative Chart,1.0,320039.0,M/s Kamala Enterprises,INR,"2,987,085",Periodic Maintenance of Dharamshala Dadh Palampur Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (Under AMP 2023-24 MDR Roads) (SH- Providing and laying 30 MM thick Bitumen concrete with Paver finisher between Km 25/00 to 26/00),Periodic Maintenance of Dharamshala Dadh Palampur Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (Under AMP 2023-24 MDR Roads) (SH- Providing and laying 30 MM thick Bitumen concrete with Paver finisher between Km 25/00 to 26/00),Please refer Tender documents. ,NA ,"30,30,936",Civil Works - Roads,NA ,Tender,75.0,30.0,Palampur,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,"60,700",No,fixed,,Nil,Nil,PWD,EE Plp NIT No. 18350-409 dt 24.01.2023,2023_PWD_67714_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Er. B.M. Thakur, EE",Palampur Division HP.P.W.D Palampur,02-Feb-2023 10:00 AM,07-Feb-2023 11:30 AM,02-Feb-2023 10:00 AM,07-Feb-2023 11:00 AM,NA ,NA ,02-Feb-2023 10:00 AM,07-Feb-2023 11:00 AM,14-Feb-2023 12:00 PM,"1,500",Nil,Nil,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320429.0,Sanjeev,06-Feb-2023 05:10 PM,Rejected-Finance,Bidder is found L2,16-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
