Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Technical,Two Bidders participated in this work and found responsive. Hence the committee decided to open the financial bid on 20.2.2023,Sanjiv Kumar,15-Feb-2023 01:01 PM,technical_102060.pdf,1.0,321124.0,A.G.CONSTRUCTIONS,08-Feb-2023 10:47 PM,Rejected-Finance,Higher Side,28-Apr-2023,1.0,321331.0,Kuldeep Soni,INR,"41,536,659",Finance,Financial bid of two bidders open successfully.,Sanjiv Kumar,28-Apr-2023 01:26 PM,finance_102060.pdf,BOQ Comparative Chart,28-Apr-2023,"INR 39,596,435",730.0,Sanjiv Kumar,28-Apr-2023 01:29 PM,AwardITI.PDF (321.00 KB),Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 01:29 PM,finsummary_102060.pdf (151.61 KB),Xen HPPWD Baijnath,Internal,"HDM Baijnath, Divisional Account Officer, SupdtGII, AE Baijnath",Sanjiv Kumar,15-Feb-2023 01:03 PM,20-Feb-2023 11:00 AM,techsummary_102060.pdf (886.26 KB),PWD,2023_PWD_67739_1,PWD-BD-TA-2022-23-18758-18807,Construction of Govt I.T.I. Building at Baijnath (Block -B Workshop).,"7,92,000",No,fixed,,EE HPPWD Baijnath,Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Document as mentioned in SBD,30-Jan-2023 02:00 PM,10-Feb-2023 12:10 PM,30-Jan-2023 02:30 PM,10-Feb-2023 11:00 AM,NA ,NA ,30-Jan-2023 05:00 PM,10-Feb-2023 11:00 AM,20-Feb-2023 11:00 AM,Construction of Govt I.T.I. Building at Baijnath (Block -B Workshop).,"Construction of Main Building, Water Supply and Sanitary Installation, Septic Tank and Rain Water Harvesting System",Please refer Tender documents. ,NA ,"3,95,96,435",Civil Works - Buildings,NA ,Tender,90.0,730.0,Baijnath,176125.0,NA ,NA ,NA ,Xen HPPWD Division Baijnath,No ,No,1.0,DD - Demand Draft,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,PWD,PWD-BD-TA-2022-23-18758-18807,2023_PWD_67739_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"5,000",EE HPPWD Baijnath,Baijnath,No
,,,,,2.0,321331.0,Kuldeep Soni,09-Feb-2023 04:49 PM,Accepted-AOC,Lower Side,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Clearance Copy and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done Certificate, work in hand as mentioned in SBD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CA Abstract of financial turnover in the last 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
