S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,340644.0,Deepak Kumar Contractor,INR,"369,044","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_71820_3,NHN-SMROO-722- 20277-347 dt 31-3-23,Providing water facility in Bhanet Haldwari in Tehsil Dadahu Distt Sirmour HP,Er Ashish Rana,Internal,JDM HDM EE,Ashish Rana,15-Apr-2023 07:48 PM,finsummary_108041.pdf (291.81 KB),Technical,Technical Summary,Ashish Rana,11-Apr-2023 04:31 PM,technical_108041.pdf,Finance,Financial Summary,Ashish Rana,11-Apr-2023 05:12 PM,finance_108041.pdf,BOQ Comparative Chart,27-Apr-2023,"INR 565,079",90.0,Ashish Rana,29-Apr-2023 03:18 PM,AOC.pdf (747.00 KB),Award to Contractor,1.0,340643.0,Chaman Lal Contractor,05-Apr-2023 06:53 PM,Rejected-Finance,Reject,15-Apr-2023,ER Ashish Rana EE,Internal,TA Supdt HDM DAo EE,Ashish Rana,11-Apr-2023 04:34 PM,11-Apr-2023 04:35 PM,techsummary_108041.pdf (319.24 KB),1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 20277-347 dt 31-3-23,2023_HPIPH_71820_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Providing water facility in Bhanet Haldwari in Tehsil Dadahu Distt Sirmour HP,C/O RCC Storage Tank 25000 ltrs capacity at Kurla Kharak and Laying jointing and testing of GMS pipe at Okualta Chanron and Bhanet Panchayat of various dia,Please refer Tender documents. ,NA ,"5,65,079",Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,01-Apr-2023 05:00 PM,10-Apr-2023 11:30 AM,01-Apr-2023 05:00 PM,10-Apr-2023 11:00 AM,NA ,NA ,03-Apr-2023 09:00 AM,10-Apr-2023 11:00 AM,11-Apr-2023 04:35 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"11,302",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340777.0,Dalip Singh,06-Apr-2023 01:43 PM,Rejected-Finance,Reject,15-Apr-2023,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340644.0,Deepak Kumar Contractor,05-Apr-2023 06:58 PM,Accepted-AOC,AOC,29-Apr-2023,,,,,,,,,,.pdf,Copy of Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341054.0,KUSHDEEP SINGH,09-Apr-2023 04:28 PM,Rejected-Finance,Reject,15-Apr-2023,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,340641.0,RAMAN KUMAR,05-Apr-2023 06:47 PM,Rejected-Finance,Reject,15-Apr-2023,,,,,,,,,,.pdf,PAN and GST Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit specifying that the benefit availed under earnest money exemption has not been exhauste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
