Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
M/T Gowal Tikker to Maheshgarh road km 0/00 to 3/0,Providing and Laying 20 cm thick Premix Carpet with seal coat in km 2/500 to 3/000 ),Please refer Tender documents. ,NA ,"6,37,086",Civil Works - Roads,NA ,Tender,90.0,30.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,29-Sep-2022 05:00 PM,06-Oct-2022 11:30 AM,29-Sep-2022 05:00 PM,06-Oct-2022 11:00 AM,NA ,NA ,29-Sep-2022 05:00 PM,06-Oct-2022 11:00 AM,13-Oct-2022 02:00 PM,PWD,PWD-BD-TA-2022-23-11357-406,2022_PWD_65760_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"12,800",No,fixed,,Nil,Nil,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,ICICI BANK,350.0,Nil,Nil,No,PWD,2022_PWD_65760_1,PWD-BD-TA-2022-23-11357-406,M/T Gowal Tikker to Maheshgarh road km 0/00 to 3/0,Xen HPPWD Baijnath,Internal,"HDM, SupdtGII, AO, AE Baijnath",Krishan Bhardwaj,13-Oct-2022 12:07 PM,13-Oct-2022 02:00 PM,techsummary_98951.pdf (871.95 KB),Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 01:22 PM,finsummary_98951.pdf (161.38 KB),28-Apr-2023,"INR 637,114",30.0,Sanjiv Kumar,28-Apr-2023 01:23 PM,Awardgowaltikker.PDF (190.00 KB),1.0,306278.0,Nagu Ram,05-Oct-2022 03:34 PM,Accepted-AOC,Lower Side,28-Apr-2023,Technical,three bidders participated in this work and found responsive.,Krishan Bhardwaj,13-Oct-2022 12:04 PM,technical_98951.pdf,1.0,306278.0,Nagu Ram,INR,"564,688",Finance,Financial bid of three bidders open successfully.,Sanjiv Kumar,28-Apr-2023 01:20 PM,finance_98951.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,306372.0,Ramesh Rana Govt Contractor,06-Oct-2022 07:54 AM,Rejected-Finance,Higher Side,28-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Valid Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,306149.0,satish abrol,06-Oct-2022 10:23 AM,Rejected-Finance,Higher Side,28-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Clearance Copy and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD related him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Minimum similar nature work done amount not less than 40 percent of the estimated cost (without LD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
