S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,SBI Bank,08-Feb-2023 10:00 AM,04-Mar-2023 02:00 PM,08-Feb-2023 10:00 AM,03-Mar-2023 12:00 PM,08-Feb-2023 10:00 AM ,11-Feb-2023 11:00 AM ,16-Feb-2023 12:00 PM,03-Mar-2023 12:00 PM,22-Mar-2023 02:00 PM,Selection of Internal Auditor for conducting internal audit of APDCL for FY 22-23 (PKG-5),Selection of Internal Auditor for conducting internal audit of APDCL for FY 22-23 (PKG-5),Please refer Tender documents. ,NA ,"5,62,860",Consultancy,NA ,Tender,90.0,60.0,"Tezpur, Mangaldoi, Rangia",784001.0,Bijulee Bhawan Guwahati ,Office of CGM Audit APDCL 4th floor Bijulee Bhawan Paltanbazar 781001 ,13-Feb-2023 01:00 PM ,Office of the CGM Audit,No ,No,1.0,Corrigendum 1,Fee,,Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,CGM(Audit)/IA/APDCL/01/23,2023_APDCL_29203_5,Yes,Open Tender,Turn-key,Services,2.0,No,No,Online,No,No,No,"20,000",Yes,fixed,,Nil,Nil,113.0,Nil,Nil,Yes,Chief General Manager Audit,Office of CGM Audit APDCL 4th floor Bijulee Bhawan Paltanbazar 781001,1.0,Fee/PreQual/Technical,.rar,Technical Bid,AOC,MD APDCL,Internal,Members of TPC-1,Rama Ranjan Chakraborty,21-Mar-2023 07:07 PM,22-Mar-2023 02:00 PM,techsummary_47028.pdf (1095.27 KB),Finance,Financial Bid opening summary,Rama Ranjan Chakraborty,04-Apr-2023 11:48 PM,,BOQ Comparative Chart,1,178732,Abhishek Agarwal & Co.,03-Mar-2023 10:02 AM,Rejected-Technical,Non-responsive,21-Mar-2023 07:07 PM,Technical,Bid Opening Summary,Rama Ranjan Chakraborty,10-Mar-2023 02:42 PM,technical_47028.pdf,1.0,178742.0,RAMA K GUPTA & CO,INR,534712.18,CGM Audit APDCL,Internal,Members of tender evaluation committee,Rama Ranjan Chakraborty,05-Apr-2023 10:09 AM,finsummary_47028.pdf (1271.70 KB),Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,2023_APDCL_29203_5,CGM(Audit)/IA/APDCL/01/23,Selection of Internal Auditor for conducting internal audit of APDCL for FY 22-23 (PKG-5),24-Apr-2023,INR 534712.18,60.0,Rama Ranjan Chakraborty,24-Apr-2023 09:40 AM,LOA_PKG5.pdf (269.00 KB),Letter of Award (PKG-5),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,AOC,,,,,,,,,,,,,,2,178618,BIJAY AGARWAL AND CO,02-Mar-2023 06:36 PM,Rejected-Technical,Non-responsive,21-Mar-2023 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,3,178487,B L PUROHIT & CO,02-Mar-2023 03:13 PM,Rejected-Finance,Position based on Combined QCBS score H2,05-Apr-2023 10:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,4,178723,C K PRUSTY AND ASSOCIATES,03-Mar-2023 01:19 AM,Rejected-Finance,Position based on Combined QCBS score H3,05-Apr-2023 10:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,5,178468,D PATWARY AND CO,01-Mar-2023 06:23 PM,Rejected-Finance,Position based on Combined QCBS score H4,05-Apr-2023 10:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,6,178696,H K Agrawala & Associates,03-Mar-2023 10:56 AM,Rejected-Technical,Non-responsive,21-Mar-2023 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,7,178679,M BORAR AND CO,02-Mar-2023 07:17 PM,Rejected-Finance,Position based on Combined QCBS score H5,05-Apr-2023 10:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,8,178641,M/S GUPTA MASKARA AND ASSOCIATES,02-Mar-2023 04:08 PM,Rejected-Technical,Non-Responsive,21-Mar-2023 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,9,178717,N C Karnany and CO,02-Mar-2023 11:40 PM,Rejected-Finance,Position based on Combined QCBS score H6,05-Apr-2023 10:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,10,178760,NILAMONI MAHANTA,03-Mar-2023 11:53 AM,Rejected-Technical,Non-responsive,21-Mar-2023 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
