Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"Er. B.M. Thakur, EE",Palampur Division HP.P.W.D Palampur,PWD,EE Plp NIT No. 18350-409 dt 24.01.2023,2023_PWD_67718_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"58,200",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,02-Feb-2023 10:00 AM,07-Feb-2023 11:30 AM,02-Feb-2023 10:00 AM,07-Feb-2023 11:00 AM,NA ,NA ,02-Feb-2023 10:00 AM,07-Feb-2023 11:00 AM,14-Feb-2023 12:00 PM,"P/M of D/sala Dadh PLP Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (AMP 2023-24 MDR Roads) (SH- P/L 30 MM thick B.C. with Paver finisher, road marking strips of hot applied thermoplastic compound (Painting line) between Km 32/00 to 33/00)","P/M of D/sala Dadh PLP Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (AMP 2023-24 MDR Roads) (SH- P/L 30 MM thick B.C. with Paver finisher, road marking strips of hot applied thermoplastic compound (Painting line) between Km 32/00 to 33/00)",Please refer Tender documents. ,NA ,"29,06,822",Civil Works - Roads,NA ,Tender,75.0,30.0,Palampur,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,"1,500",Nil,Nil,No,1.0,320035.0,M/s Kamala Enterprises,INR,"2,825,550",Finance,Financial bid opening summary,Manoj Sood,17-Feb-2023 10:28 AM,finance_102030.pdf,BOQ Comparative Chart,1.0,320035.0,M/s Kamala Enterprises,06-Feb-2023 02:00 AM,Accepted-AOC,AOC,22-Jul-2023,Technical,Technical bid opening summary,Manoj Sood,13-Feb-2023 05:53 PM,technical_102030.pdf,"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,13-Feb-2023 05:55 PM,14-Feb-2023 12:00 PM,techsummary_102030.pdf (166.18 KB),PWD,2023_PWD_67718_1,EE Plp NIT No. 18350-409 dt 24.01.2023,"P/M of D/sala Dadh PLP Holta Chadiyar Sandhol road DRRP No. HP 0402 MDR078 (AMP 2023-24 MDR Roads) (SH- P/L 30 MM thick B.C. with Paver finisher, road marking strips of hot applied thermoplastic compound (Painting line) between Km 32/00 to 33/00)",27-Apr-2023,"INR 2,906,822",30.0,Manoj Sood,22-Jul-2023 12:37 PM,67718.pdf (411.00 KB),AOC,"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,17-Feb-2023 10:31 AM,finsummary_102030.pdf (161.31 KB)
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320413.0,Sanjeev,06-Feb-2023 10:07 AM,Rejected-Finance,Bidder is found L2,17-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
