S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,335807.0,Sanjeev Kumar,INR,"452,107",Finance,award letter,SHASHI PAL,10-Apr-2023 05:35 PM,finance_106328.pdf,BOQ Comparative Chart,Technical,technical bid evolvation,SHASHI PAL,21-Mar-2023 10:42 AM,technical_106328.pdf,1.0,334032.0,Amar Singh,17-Mar-2023 07:41 PM,Rejected-Finance,L2,10-Apr-2023,10-Apr-2023,"INR 452,107",90.0,SHASHI PAL,09-Jan-2024 09:55 AM,Awardletterfinal.pdf (1083.00 KB),Award Letter,EE,Internal,"Supdt. Gr.11, DHD, DAO, AE",SHASHI PAL,10-Apr-2023 05:43 PM,finsummary_106328.pdf (1083.17 KB),EE,Internal,"AE,HDM,SupdtGr-II,DAO",SHASHI PAL,21-Mar-2023 10:47 AM,21-Mar-2023 10:50 AM,techsummary_106328.pdf (266.85 KB),PWD,2023_PWD_70539_1,C/o link road H/Basti Kanagora Patta,C/o link road H/Basti Kanagora Patta,350.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and EM (Proforma of Schedules),EE HP.PWD Ghumarwn,EE HP.PWD Ghumarwin,PWD,C/o link road H/Basti Kanagora Patta,2023_PWD_70539_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"12,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,C/o link road H/Basti Kanagora Patta,Co Link road H Basti Kanagora Patta to Pavai Panol to Ballu via Tikkar Dahad km. 0/0 to 8/0 SH Co 900mm dia pipe culvert at R.D 2/020 to 2/320)(SCSP),Please refer Tender documents. ,NA ,"5,83,096",Civil Works,Construction work ,Tender,60.0,60.0,Ghumarwin,174021.0,EE Ghumarwin ,EE Ghumarwin ,17-Mar-2023 10:00 AM ,EE Ghumarwin,No ,No,10-Mar-2023 03:00 PM,18-Mar-2023 11:00 AM,10-Mar-2023 03:00 PM,18-Mar-2023 10:30 AM,NA ,NA ,10-Mar-2023 03:00 PM,18-Mar-2023 10:30 AM,21-Mar-2023 10:50 AM
,,,,,,,,,,,,,,,,2.0,335823.0,ATISH MAHAJAN,17-Mar-2023 03:21 PM,Rejected-Finance,L4,10-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,334647.0,Rajesh Kumar,13-Mar-2023 06:48 PM,Rejected-Finance,L3,10-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No ,Pan No. and EPF No(General Rules No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,335807.0,Sanjeev Kumar,17-Mar-2023 01:12 PM,Accepted-AOC,L1,09-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done for last 05years and work in Hand Certi dully signed by concerned. Autho/EE (Gen. Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,335856.0,SUBHASH CHAND,17-Mar-2023 06:56 PM,Rejected-Technical,not qualified,21-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plants and Laboratory Equipment etc. (as shown in Schedule-F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form 7, 8 dully signed by Contractor with seal (Refer schedule A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Financial Turnover for at least Five years dully verified/checked by the Charted-Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Original documents before scheduled time of opening time of technical bids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All GCC will be applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
