Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Construction of PHC Building Magazine in Tehsil Baijnath Distt. Kangra H.P,"Cutting in earth work, soling and CC Pavement in approach road",Please refer Tender documents. ,NA ,"5,81,627",Civil Works,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,15-Feb-2023 05:00 PM,24-Feb-2023 11:30 AM,15-Feb-2023 05:00 PM,24-Feb-2023 11:00 AM,NA ,NA ,15-Feb-2023 05:00 PM,24-Feb-2023 11:00 AM,06-Mar-2023 11:00 AM,1.0,DD - Demand Draft,PWD,PWD-BD-TA-2022-23-13945-95,2023_PWD_68994_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"12,000",No,fixed,,EE HPPWD Baijnath,Baijnath,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,350.0,EE HPPWD Baijnath,Baijnath,No,PWD,2023_PWD_68994_1,PWD-BD-TA-2022-23-13945-95,Construction of PHC Building Magazine in Tehsil Baijnath Distt. Kangra H.P,Xen HPPWD Baijnath,Internal,Supdt GII HDM Baijnath AE Baijnath,Sanjiv Kumar,01-Mar-2023 11:27 AM,06-Mar-2023 11:00 AM,techsummary_104028.pdf (268.76 KB),Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 12:25 PM,finsummary_104028.pdf (150.21 KB),28-Apr-2023,"INR 581,627",90.0,Sanjiv Kumar,28-Apr-2023 12:26 PM,AwardPHC.PDF (214.00 KB),1.0,326878.0,ankit kumar sharma,22-Feb-2023 06:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023,Technical,Three bidders participated in this work and two bidders found responsive. Hence the committee decided to open the financial bid.,Sanjiv Kumar,01-Mar-2023 11:25 AM,technical_104028.pdf,Finance,Financial bid of two bidders open successfully,Sanjiv Kumar,28-Apr-2023 12:22 PM,finance_104028.pdf,BOQ Comparative Chart,1.0,324330.0,Harbinder Katoch,INR,"596,168"
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,324330.0,Harbinder Katoch,16-Feb-2023 12:06 PM,Accepted-AOC,lower side,28-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,324395.0,Shalabh Awasthi,16-Feb-2023 01:27 PM,Rejected-Finance,Higher Side,28-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
