Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address
Finance,Fin bid opened successfully,Subash Chauhan,01-Apr-2023 04:40 PM,finance_101383.pdf,BOQ Comparative Chart,Technical,Cover-1 downloaded successfully,Subash Chauhan,24-Feb-2023 11:23 AM,technical_101383.pdf,03-Apr-2023,"INR 22,722,213",365.0,Subash Chauhan,03-Apr-2023 11:10 AM,Award.pdf (988.00 KB),Estimated cost,SE,Internal,CHD AED EED,Subash Chauhan,24-Feb-2023 11:31 AM,24-Feb-2023 11:40 AM,techsummary_101383.pdf (510.05 KB),1.0,317679.0,Dinesh Singh Thakur,30-Jan-2023 10:58 AM,Accepted-AOC,Lowest bid,03-Apr-2023,1.0,317679.0,Dinesh Singh Thakur,INR,"19,825,060","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",2023_HPIPH_67237_1,SNN-SML-03-740-Tndr/23-7406-15 dt 17/1/23,"Providing LIS from Koldam reservoir to Shakrori, Basantpur, Pahal Neot etc. Tehsil Suni Distt Shimla HP (phase-I under NABARD RDIF-XXVI",SE,Internal,AECHDEED,Subash Chauhan,01-Apr-2023 04:49 PM,finsummary_101383.pdf (762.86 KB),1.0,Fee/PreQual/Technical,.pdf,Earnest money as per NIT,"Providing LIS from Koldam reservoir to Shakrori, Basantpur, Pahal Neot etc. Tehsil Suni Distt Shimla HP (phase-I under NABARD RDIF-XXVI","Providing LIS from Koldam reservoir to Shakrori, Basantpur, Pahal Neot etc. Tehsil Suni Distt Shimla HP phase-I under NABARD RDIF-XXVI",Please refer Tender documents. ,NA ,"2,27,22,213",Civil Works - Water Works,NA ,Tender,120.0,365.0,Suni,171301.0,NA ,NA ,NA ,Suni,No ,No,1.0,Change in Unit and nominclature,Financial Bid,,"2,500",EE Suni,Suni,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",SNN-SML-03-740-Tndr/23-7406-15 dt 17/1/23,2023_HPIPH_67237_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,59,800",Yes,fixed,,EE Suni,Suni,18-Jan-2023 05:00 PM,30-Jan-2023 11:30 AM,18-Jan-2023 05:00 PM,30-Jan-2023 11:00 AM,18-Jan-2023 05:00 PM ,30-Jan-2023 11:00 AM ,18-Jan-2023 05:00 PM,30-Jan-2023 11:00 AM,24-Feb-2023 11:40 AM,Executive Engineer,JSV Division Suni
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,317109.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,28-Jan-2023 01:46 PM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,.pdf,Cost of tender document as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,317654.0,puneet angra,30-Jan-2023 10:22 AM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with Jal Shakti Vibhag in appropriate class and latest rene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,316801.0,Sai Aqua Machines and Builders,27-Jan-2023 05:04 PM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,5.0,317539.0,Vijay Sharma,30-Jan-2023 10:51 AM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax Return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax registration/TIN Numbers/GSTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding Dizital Signature Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of under taking that I have carefully studied all the Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pump Characteristics curves in pdf format indication Horse Power required at duty point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
