Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,PWD,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,2023_PWD_71859_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Periodical maintenance on Shegali Baggi Prasher Jawalapur Panarsa road km 0.0 to 62.035 SH-Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 51.0 to 55.0 AMP for the year 2023 24 MDR 068.,Periodical maintenance on Shegali Baggi Prasher Jawalapur Panarsa road km 0.0 to 62.035 SH-Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 51.0 to 55.0 AMP for the year 2023 24 MDR 068.,Please refer Tender documents. ,NA ,"68,52,197",Civil Works,NA ,Tender,120.0,90.0,Prashar,175121.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No,04-Apr-2023 05:00 PM,13-Apr-2023 11:30 AM,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,NA ,NA ,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,18-Apr-2023 03:20 PM,"1,38,000",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,PWD,2023_PWD_71859_5,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,Periodical maintenance on Shegali Baggi Prasher Jawalapur Panarsa road km 0.0 to 62.035 SH-Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 51.0 to 55.0 AMP for the year 2023 24 MDR 068.,Er. S.K. Dhiman EE,Internal,Sh. Keshav Ram Supdtt 2. Sh. Jagdish Thakur DHD 3. Sh. Amit Naggar DAO 4. Sh. Ajay Sood AE,Suresh Kumar Dhiman,18-Apr-2023 03:15 PM,18-Apr-2023 03:20 PM,techsummary_108126.pdf (252.53 KB),Er. S.K.Dhiman EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Er. Ajay Sood AE,Suresh Kumar Dhiman,25-Apr-2023 03:32 PM,finsummary_108126.pdf (359.39 KB),29-Apr-2023,"INR 7,187,955",90.0,Suresh Kumar Dhiman,30-May-2023 01:10 PM,AOCsheglibaggiprasher.pdf (259.00 KB),Detail attached,Finance,Detail attached.,Suresh Kumar Dhiman,25-Apr-2023 03:16 PM,finance_108126.pdf,BOQ Comparative Chart,1.0,341426.0,GORSI CONSTRUCTION PVT LTD,INR,"7,187,955",1.0,341426.0,GORSI CONSTRUCTION PVT LTD,12-Apr-2023 01:32 PM,Accepted-AOC,L1,30-May-2023,Technical,Summary Attached.,Suresh Kumar Dhiman,18-Apr-2023 03:04 PM,technical_108126.pdf
,,,,.pdf,Earnest Money as per Tender Document,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341808.0,SANDEEP KUMAR SHARMA,12-Apr-2023 02:53 PM,Rejected-Finance,L2,25-Apr-2023,,,,,
,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,341514.0,varnag banasari infra construction pvt ltd,11-Apr-2023 02:22 PM,Not Admitted-Finance,Others-Contractor vide his application withdrawan his bid received in this office on 18.04.2023.,25-Apr-2023,,,,,
,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Work done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Affidavit That Information Furnished with The Bid Is Correct in All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
