Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,21-Feb-2023 11:10 AM,28-Feb-2023 11:30 AM,21-Feb-2023 11:10 AM,28-Feb-2023 09:00 AM,NA ,NA ,21-Feb-2023 11:10 AM,28-Feb-2023 09:00 AM,02-Mar-2023 01:00 PM,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,350.0,Nil,Nil,No,"13,150",No,fixed,,Nil,Nil,PWD,Nagrota 21,2023_PWD_69308_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Restoration of rain damages on link road to village Batlahru Km 0/000 to 0/575 in Distt. Kangra (H.P.).(SH-Providing and laying wearing and tarring in Km 0/000 to 0/575),Restoration of rain damages on link road to village Batlahru Km 0/000 to 0/575 in Distt. Kangra (H.P.).(SH-Providing and laying wearing and tarring in Km 0/000 to 0/575),Please refer Tender documents. ,NA ,"6,56,792",Civil Works - Roads,NA ,Tender,120.0,60.0,Nagrota Bagwan,176056.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,Internal,"AE, DAO, Supdt, HDM",Suresh Kumar Walia,02-Mar-2023 12:27 PM,02-Mar-2023 01:00 PM,techsummary_104586.pdf (718.91 KB),PWD,2023_PWD_69308_2,Nagrota 21,Restoration of rain damages on link road to village Batlahru Km 0/000 to 0/575 in Distt. Kangra (H.P.).(SH-Providing and laying wearing and tarring in Km 0/000 to 0/575),18-Apr-2023,"INR 656,792",60.0,Suresh Kumar Walia,20-Apr-2023 11:15 AM,Award.pdf (335.00 KB),Award,Execuitve Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,13-Mar-2023 11:58 AM,finsummary_104586.pdf (190.50 KB),1.0,329392.0,atul thakur,INR,"597,681",Finance,sum,Suresh Kumar Walia,13-Mar-2023 11:56 AM,finance_104586.pdf,BOQ Comparative Chart,1.0,329594.0,Alpna Sharma,27-Feb-2023 04:18 PM,Rejected-Finance,Lowest 2,13-Mar-2023,Technical,sum,Suresh Kumar Walia,02-Mar-2023 12:26 PM,technical_104586.pdf
,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,329392.0,atul thakur,27-Feb-2023 12:12 PM,Accepted-AOC,Award,20-Apr-2023,,,,,
,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,329624.0,Deeksha Sharmaq,27-Feb-2023 04:53 PM,Rejected-Finance,Lowest 3,13-Mar-2023,,,,,
,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
