Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
Technical,Proceeding,Sanjay Kumar,04-Apr-2023 04:19 PM,technical_107446.pdf,Finance,finical,Sanjay Kumar,05-Apr-2023 01:18 PM,finance_107446.pdf,BOQ Comparative Chart,28-Apr-2023,"INR 35,134,222",365.0,Sanjay Kumar,28-Apr-2023 09:36 AM,AOC.pdf (2048.00 KB),AOC,1.0,339440.0,Himachal Techno Engineers,29-Mar-2023 04:18 PM,Accepted-AOC,..,28-Apr-2023,Er. Neeraj Bhogal Superintending Engineer,Internal,Supdtt W JE EE EED,Sanjay Kumar,04-Apr-2023 04:21 PM,04-Apr-2023 04:25 PM,techsummary_107446.pdf (1761.02 KB),1.0,338152.0,KDN Infrastructure Pvt. Ltd.,INR,"35,635,749","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2023_HPIPH_71372_1,EE-JSV--E-tenders-2022-23,Construction of Office of the Chief Engineer Jal Shakti Vibhag Hamripur Zone at Salasi in Tehsil and Distt Hamirpur,EE JSV Division Hamirpur,Internal,Finicial,Sanjay Kumar,05-Apr-2023 01:22 PM,finsummary_107446.pdf (294.15 KB),"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",EE-JSV--E-tenders-2022-23,2023_HPIPH_71372_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,500",EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,No,1.0,ICICI BANK,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,22-Mar-2023 09:00 AM,31-Mar-2023 11:30 AM,22-Mar-2023 09:00 AM,31-Mar-2023 11:00 AM,NA ,NA ,22-Mar-2023 09:00 AM,31-Mar-2023 11:00 AM,04-Apr-2023 04:25 PM,Construction of Office of the Chief Engineer Jal Shakti Vibhag Hamripur Zone at Salasi in Tehsil and Distt Hamirpur,Construction of Office of the Chief Engineer Jal Shakti Vibhag Hamripur Zone at Salasi in Tehsil and Distt Hamirpur,Please refer Tender documents. ,NA ,"4,27,15,337",Civil Works,NA ,Tender,120.0,365.0,EE JSV DIVISION HAMIRPUR,177001.0,Chief Engineer Jal Shakti Vibhag Hamirpur Zone  ,Chief Engineer Jal Shakti Vibhag Hamirpur Zone  ,27-Mar-2023 03:00 PM ,EE JSV DIVISION HAMIRPUR,No ,No,1.0,Corrigendum,Other,,"4,59,653",No,fixed,,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,1.0,Fee/PreQual/Technical,.pdf,The Earnest money as per NIT condition 2 (i )
,,,,,,,,,,,,,,,,,,2.0,338152.0,KDN Infrastructure Pvt. Ltd.,31-Mar-2023 09:33 AM,Accepted-AOC,..,28-Apr-2023,,,,,,,,2.0,339440.0,Himachal Techno Engineers,INR,"35,134,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of tender form as per NIT condition No. 2 (ii)
,,,,,,,,,,,,,,,,,,3.0,339573.0,YOG RAJ SHARMA,30-Mar-2023 04:50 PM,Accepted-AOC,.,28-Apr-2023,,,,,,,,3.0,339573.0,YOG RAJ SHARMA,INR,"38,737,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration as per NIT condition No 2 (iii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN (Permanent Account No.), GST registration and EPF registration."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annunal Turn over of three year as per NIT condition No. 2 (v)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-qualification criteria proof as per NIT condition No. 3 a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Definition of similar work as per condition b (iii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,f) The authorization letter regarding digital signature certificate (DSC)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,g) A scanned copy of undertaking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
