Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,400.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,"50,014",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,24-Mar-2023 05:00 PM,04-Apr-2023 11:00 AM,24-Mar-2023 05:00 PM,03-Apr-2023 05:00 PM,24-Mar-2023 05:00 PM ,03-Apr-2023 05:00 PM ,24-Mar-2023 05:00 PM,03-Apr-2023 05:00 PM,04-Apr-2023 12:30 PM,1.0,ICICI BANK,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,"Drilling , Lowering of assembly and development of 180 mtrs deep tubewell against defunct tubewell No. 131 at Daulatpur (under CRF)","Drilling , Lowering of assembly and development of 180 mtrs deep tubewell against defunct tubewell No. 131 at Daulatpur (under CRF)",as per NIT ,NA ,"25,00,684",Civil Works,NA ,Tender,120.0,30.0,131 at Daulatpur,174301.0,NA ,NA ,NA ,Una HP,No ,No,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-1/E -tender/ 22-22248-77 dt 24-03-2023,2023_HPIPH_71540_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Finance,summary attached,Vinod Kumar Dhiman,04-Apr-2023 12:52 PM,finance_107634.pdf,BOQ Comparative Chart,Technical,summary,Vinod Kumar Dhiman,04-Apr-2023 12:27 PM,technical_107634.pdf,25-Apr-2023,"INR 2,056,552",30.0,Vinod Kumar Dhiman,25-Apr-2023 03:59 PM,vijay.pdf (300.00 KB),AOC,--,Internal,----,Vinod Kumar Dhiman,04-Apr-2023 12:28 PM,04-Apr-2023 12:30 PM,techsummary_107634.pdf (99.17 KB),1.0,340164.0,Akarshan Jaswal,03-Apr-2023 03:51 PM,Rejected-Finance,Not found L-1,25-Apr-2023,---,Internal,----,Vinod Kumar Dhiman,25-Apr-2023 03:58 PM,finsummary_107634.pdf (299.66 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_71540_1,No. JSV-1/E -tender/ 22-22248-77 dt 24-03-2023,"Drilling , Lowering of assembly and development of 180 mtrs deep tubewell against defunct tubewell No. 131 at Daulatpur (under CRF)",1.0,339638.0,Vijay Sharma Contractor,INR,"2,056,552"
,,.pdf,Cost of tender form (online/ offline mode),,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340269.0,HIMANSHU CHAUHAN,03-Apr-2023 04:56 PM,Rejected-Finance,Not found L-1,25-Apr-2023,,,,,,,,,,,,,,,
,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,339733.0,JASPREET SINGH,03-Apr-2023 01:37 PM,Rejected-Finance,Not found L-1,25-Apr-2023,,,,,,,,,,,,,,,
,,.pdf,Copy of GST number along with latest copy of GST return file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,340090.0,Shiva Tubewell Works,03-Apr-2023 12:40 PM,Rejected-Finance,Not found L-1,25-Apr-2023,,,,,,,,,,,,,,,
,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,339638.0,Vijay Sharma Contractor,03-Apr-2023 02:00 PM,Accepted-AOC,L-1,25-Apr-2023,,,,,,,,,,,,,,,
,,.pdf,work done certificate if any.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking regarding he has executed work two or more work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Rregistration with HP Ground Water Authority Shimla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
