Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Ramesh Rana,25-Apr-2023 04:41 PM,finsummary_93365.pdf (189.89 KB),27-Apr-2023,"INR 996,580",60.0,Ramesh Rana,27-Apr-2023 01:33 PM,7.pdf (796.00 KB),PWD,2022_PWD_61862_2,PW-KD-E-Tender/2022-23-3632-34 dt 10-06-2022,A/R and M/O on Mail Matlu road in K.M. 0/00 to 6/300,Executive Engineer,Internal,"XEN, AE, Supdt. Gr-II, HDM",Ramesh Rana,29-Jun-2022 02:32 PM,29-Jun-2022 02:35 PM,techsummary_93365.pdf (4182.61 KB),1.0,288297.0,Rakesh Negi,INR,"810,657",Finance,Summary Updated,Ramesh Rana,25-Apr-2023 04:39 PM,finance_93365.pdf,BOQ Comparative Chart,Technical,Summary Uploaded,Ramesh Rana,29-Jun-2022 02:26 PM,technical_93365.pdf,1.0,288297.0,Rakesh Negi,24-Jun-2022 06:10 PM,Accepted-AOC,Lowest bidder to awarded the work.,27-Apr-2023,PWD,PW-KD-E-Tender/2022-23-3632-34 dt 10-06-2022,2022_PWD_61862_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Division HPPWD Kotkhai,350.0,Nil,Nil,No,1.0,ICICI BANK,"20,000",No,fixed,,Nil,Nil,20-Jun-2022 09:00 AM,27-Jun-2022 11:00 AM,20-Jun-2022 09:00 AM,25-Jun-2022 06:00 PM,NA ,NA ,20-Jun-2022 09:00 AM,25-Jun-2022 06:00 PM,29-Jun-2022 02:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),A/R and M/O on Mail Matlu road in K.M. 0/00 to 6/300,Providing and Laying 50 mm Dense Bituminous Macadam for Patch in K.M. 4/200 to 4/900,Please refer Tender documents. ,NA ,"9,96,580",Civil Works - Roads,NA ,Tender,90.0,60.0,Division Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,288331.0,SITA RAM THAKUR,25-Jun-2022 12:36 PM,Rejected-Finance,L2 BIDDER,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,
