S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,202048.0,Pawan Kumar,INR,"586,610",Finance,finsummary,Dalip singh Patial,18-Jun-2021 05:31 PM,finance_67564.pdf,BOQ Comparative Chart,Technical,technical bid summary,Dalip singh Patial,10-Mar-2021 03:58 PM,technical_67564.pdf,1.0,202563.0,Krishana Traders,09-Mar-2021 03:18 PM,Rejected-Finance,Rejected being L2 firm/ contractor,18-Jun-2021,12-Apr-2023,"INR 561,900",730.0,Munish Bhopal,23-Aug-2023 03:12 PM,AOC.pdf (342.00 KB),work awarded to Sh. Pawan Kumar Elect contr being L1,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,18-Jun-2021 05:43 PM,finsummary_67564.pdf (282.04 KB),Er D S Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,10-Mar-2021 04:00 PM,10-Mar-2021 04:05 PM,techsummary_67564.pdf (376.17 KB),PWD,2021_PWD_44978_1,PW/MED/TA/NIT/ e-notice/20-21-6904-14 dt 16.02.21,"Construction Science lab at Government Senior Secondary School at Bara, Tehsil Chachiot District Mandi H.P SH Providing EI therein",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"11,250",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,03-Mar-2021 10:00 AM,10-Mar-2021 11:30 AM,03-Mar-2021 10:00 AM,10-Mar-2021 10:00 AM,NA ,NA ,03-Mar-2021 10:00 AM,10-Mar-2021 10:00 AM,10-Mar-2021 04:05 PM,1.0,DD - Demand Draft,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/20-21-6904-14 dt 16.02.21,2021_PWD_44978_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction Science lab at Government Senior Secondary School at Bara, Tehsil Chachiot District Mandi H.P SH Providing EI therein","Construction Science lab at Government Senior Secondary School at Bara, Tehsil Chachiot District Mandi H.P SH Providing EI therein",Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Chachiot,175028.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No
,,,,,,,,,,,,,,,,2.0,202530.0,LAL SINGH CONTRACTOR,09-Mar-2021 03:06 PM,Rejected-Finance,Rejected being L2 firm/ contractor,18-Jun-2021,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,202664.0,Mahesh Electrical And Electronich,10-Mar-2021 08:23 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Mar-2021,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in appropriate Class B or C(Electrical) with valid Elect license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,202662.0,NITIN PROP A VIGHNA ELECTRICALS,10-Mar-2021 06:29 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Mar-2021,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,202048.0,Pawan Kumar,06-Mar-2021 05:38 PM,Accepted-AOC,work awarded being L1,23-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6.0,202556.0,Shiv Shakati electric gen store,09-Mar-2021 03:51 PM,Rejected-Finance,Rejected being L2 firm/ contractor,18-Jun-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
