Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
13-Apr-2023,"INR 850,107",60.0,Kanav Barota,13-Apr-2023 02:30 PM,12263.pdf (545.00 KB),Assistant Engineer Superintendent and Senior Assistant,EE,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,24-Dec-2021 05:40 PM,finsummary_78332.pdf (345.47 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,28-Oct-2021 07:24 PM,02-Nov-2021 11:30 AM,techsummary_78332.pdf (219.54 KB),PWD,2021_PWD_52400_5,No.PWC-7521-7620 dated 6-9-2021,Construction of Goita nallah to Paloga road Km. 0/0 to 1/500 Const. Of R/wall at various RDs,Technical,BOS,Jeet Singh Thakur,28-Oct-2021 06:51 PM,technical_78332.pdf,1.0,237638.0,MANISH VAID,24-Sep-2021 03:59 PM,Rejected-Finance,3rd lowest,24-Dec-2021,1.0,236929.0,Ravinder,INR,"1,310,660",Finance,BOS,Jeet Singh Thakur,24-Dec-2021 05:35 PM,finance_78332.pdf,BOQ Comparative Chart,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,PWD,No.PWC-7521-7620 dated 6-9-2021,2021_PWD_52400_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,350.0,Nil,Nil,No,18-Sep-2021 10:00 AM,25-Sep-2021 11:30 AM,18-Sep-2021 10:00 AM,24-Sep-2021 05:00 PM,NA ,NA ,18-Sep-2021 10:00 AM,24-Sep-2021 05:00 PM,02-Nov-2021 11:30 AM,Construction of Goita nallah to Paloga road Km. 0/0 to 1/500 Const. Of R/wall at various RDs,Construction of Goita nallah to Paloga road Km. 0/0 to 1/500 Const. Of R/wall at various RDs,Please refer Tender documents. ,NA ,"8,50,107",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,"17,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,237744.0,Ram Singh,24-Sep-2021 03:08 PM,Rejected-Finance,2nd lowest,24-Dec-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,236929.0,Ravinder,24-Sep-2021 04:10 PM,Accepted-AOC,work compoleted,13-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,
