Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,PWD,EE Salooni letter No. 14301-14350 dated 09-02-2023,2023_PWD_68899_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,15-Feb-2023 09:00 AM,25-Feb-2023 11:30 AM,15-Feb-2023 10:00 AM,25-Feb-2023 11:00 AM,NA ,NA ,15-Feb-2023 10:00 AM,25-Feb-2023 11:00 AM,04-Mar-2023 11:30 AM,"1,500",Nil,Nil,No,"78,200",No,fixed,,Nil,Nil,"Periodical Maintenance on Kund to Siula road under financial incentive of PMGSY for the year 2023-2024 K.M. 3/0 to 4/0, 4/0 to 5/0",Providing and laying 30mm thick bituminous concrete,Please refer Tender documents. ,NA ,"39,06,132",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,1.0,324377.0,Kamal Thakur,24-Feb-2023 12:04 PM,Rejected-Finance,Other Than Lowest,22-Mar-2023,Technical,Bid Opening Summary,Deepak Mahajan,03-Mar-2023 01:31 PM,technical_103908.pdf,1.0,327602.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,INR,"3,671,764",Finance,Bid Opening Summary,Deepak Mahajan,22-Mar-2023 03:54 PM,finance_103908.pdf,BOQ Comparative Chart,PWD,2023_PWD_68899_2,EE Salooni letter No. 14301-14350 dated 09-02-2023,"Periodical Maintenance on Kund to Siula road under financial incentive of PMGSY for the year 2023-2024 K.M. 3/0 to 4/0, 4/0 to 5/0",Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,03-Mar-2023 01:37 PM,04-Mar-2023 11:30 AM,techsummary_103908.pdf (670.65 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,22-Mar-2023 03:58 PM,finsummary_103908.pdf (18.21 KB),14-Apr-2023,"INR 3,906,132",90.0,Deepak Mahajan,10-Oct-2023 06:04 PM,AL.pdf (1002.00 KB),Award letter
,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,327602.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,23-Feb-2023 07:56 PM,Accepted-AOC,Work in completed,10-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Form No. 7/8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,One similar work of forty percent of the estimated value of work (without L.D.) in last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
