Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
23-Aug-2022 06:00 PM,31-Aug-2022 11:00 AM,23-Aug-2022 06:00 PM,30-Aug-2022 06:00 PM,NA ,NA ,23-Aug-2022 06:00 PM,30-Aug-2022 06:00 PM,13-Sep-2022 10:00 AM,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,1.0,ICICI BANK,Improvement of black spot on Kansakoti Kutara Dalgaon road Km. 0.0 to 15.0,SH Widening of road at Rd. 0.420 to 0.630,Please refer Tender documents. ,NA ,"7,28,033",Civil Works,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,ROHRU,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,E E B and R Divn HPPWD ROHRUHP,E E B and R Divn HPPWD ROHRU HP,"14,560",No,fixed,,Nil,Nil,PWD,PW-RD-GA-Tender/22-6603-6702 dt.05.07.22,2022_PWD_63846_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Finance,Summery,Duni Chand Chauhan,13-Sep-2022 10:19 AM,finance_96194.pdf,BOQ Comparative Chart,1.0,298343.0,VIKESHWAR KUMAR,INR,"749,653",1.0,298354.0,GAURAV CHAUHAN,30-Aug-2022 12:33 PM,Rejected-Finance,2nd Lowest,01-Oct-2022,Technical,summery,Duni Chand Chauhan,13-Sep-2022 09:16 AM,technical_96194.pdf,PAWAN KUMAR,Internal,"Er. C.L.Azad, Sanjay Thakur , Ranvir Chauhan",Duni Chand Chauhan,13-Sep-2022 09:21 AM,13-Sep-2022 10:00 AM,techsummary_96194.pdf (172.35 KB),PWD,2022_PWD_63846_2,PW-RD-GA-Tender/22-6603-6702 dt.05.07.22,Improvement of black spot on Kansakoti Kutara Dalgaon road Km. 0.0 to 15.0,14-Apr-2023,"INR 749,653",60.0,Duni Chand Chauhan,14-Apr-2023 12:16 PM,AL-VK-63846_2.pdf (1991.00 KB),Improvement of black spot on Kansakoti Kutara Dalgaon road Km. 0.0 to 15.0,Pawan Kumar,Internal,Er. C.L Azad,Pawan Kumar Garg,01-Oct-2022 03:16 PM,finsummary_96194.pdf (168.57 KB)
,,,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,298343.0,VIKESHWAR KUMAR,30-Aug-2022 12:16 PM,Accepted-AOC,Tender awarded,14-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
