Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Name,Address,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"2,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,22-Feb-2023 06:00 PM,28-Feb-2023 11:00 AM,22-Feb-2023 06:00 PM,27-Feb-2023 06:00 PM,NA ,NA ,22-Feb-2023 06:00 PM,27-Feb-2023 06:00 PM,04-Mar-2023 12:10 PM,PWD,PW-RD-GA-Tender-23-18626-18725 Dt.14.02.23,2023_PWD_69033_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,29,300",No,fixed,,Nil,Nil,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Providing periodical maintenance on Pujarli Koti Saridhar road,"SH Providing and laying pot hole, periodical maintenance Km. at Rd. 0.0 to 4.0 and 2.5 mm thich road marking strips (retro reflective ) Km. .0.0 to 4.00 )Under PMGSY incentive",Please refer Tender documents. ,NA ,"64,61,066",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,1.0,ICICI BANK,EE HPPWD ROHRU,EE HPPWD ROHRU,PWD,2023_PWD_69033_5,PW-RD-GA-Tender-23-18626-18725 Dt.14.02.23,Providing periodical maintenance on Pujarli Koti Saridhar road,Er. Pawan,Internal,"Er. C.L. AZAD , Snjay Thakur , Naveen Chauhan",Pawan Kumar Garg,04-Mar-2023 12:08 PM,04-Mar-2023 12:10 PM,techsummary_104080.pdf (514.84 KB),Er. Pawan,Internal,Er.C.L. Azad,Duni Chand Chauhan,26-Apr-2023 05:33 PM,finsummary_104080.pdf (549.93 KB),26-Apr-2023,"INR 6,612,320",60.0,Duni Chand Chauhan,26-Apr-2023 05:34 PM,songi.pdf (550.00 KB),AOC,1.0,328798.0,AJAY SAUHTA,25-Feb-2023 09:03 AM,Rejected-Finance,3rd lowest,26-Apr-2023,Technical,Summery,Pawan Kumar Garg,04-Mar-2023 11:48 AM,technical_104080.pdf,Finance,Summery,Chuni Lal Azad,04-Mar-2023 12:23 PM,finance_104080.pdf,BOQ Comparative Chart,1.0,329572.0,BLN INFRA PVT LTD,INR,"6,612,320"
,,,,,,.pdf,Earnest money under general rule 24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,329572.0,BLN INFRA PVT LTD,27-Feb-2023 04:20 PM,Accepted-AOC,AOC,26-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,328833.0,POOJA CHAUHAN,25-Feb-2023 10:52 AM,Rejected-Finance,2nd lowest,26-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Work done certificate and work in hand under general rule 24.5 (Similar work done forty percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect as General rule No. 12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Other important doucments as specified by the stat e in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Permanent Account number as per general rule 1.2B(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Financial turn over for last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
