Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description
20-Apr-2023,"INR 4,946,840",120.0,Suresh Kumar Walia,25-Apr-2023 02:43 PM,Award.pdf (351.00 KB),Award,Executive Engineer,Internal,AE DAO Supdtt HDM,Ankit Kumar,28-Mar-2023 01:25 PM,finsummary_104935.pdf (191.78 KB),Executive Engineer,Internal,AE DAO Supdt HDm,Suresh Kumar Walia,21-Mar-2023 01:29 PM,23-Mar-2023 10:00 AM,techsummary_104935.pdf (1004.46 KB),PWD,2023_PWD_69560_1,Nagrota -23,"Construction of link road from Sera to Chhanwar including bridge over Daroon khad in G.P Sera Thana in Distt. Kangra (Himachal Pradesh). (SH Construction of Sub-Structure, Super Structure for 25.00 mtr. span foot bridge alongwith both side approaches",1.0,330564.0,Kapil Sharma,INR,"3,820,443",Finance,sum,Ankit Kumar,28-Mar-2023 01:22 PM,finance_104935.pdf,BOQ Comparative Chart,Technical,sum,Suresh Kumar Walia,21-Mar-2023 01:27 PM,technical_104935.pdf,1.0,329849.0,Alpna Sharma,01-Mar-2023 02:01 PM,Rejected-Finance,Lowest 2,28-Mar-2023,1.0,ICICI BANK,PWD,Nagrota -23,2023_PWD_69560_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,"98,940",No,fixed,,Nil,Nil,"Construction of link road from Sera to Chhanwar including bridge over Daroon khad in G.P Sera Thana in Distt. Kangra (Himachal Pradesh). (SH Construction of Sub-Structure, Super Structure for 25.00 mtr. span foot bridge alongwith both side approaches","Construction of link road from Sera to Chhanwar including bridge over Dharoon khad in G.P Sera Thana in Distt. Kangra (Himachal Pradesh). (SH Construction of Sub-Structure, Super Structure for 25.00 mtr. span foot bridge alongwith both side approache",Please refer Tender documents. ,NA ,"49,46,840",Civil Works - Bridges,NA ,Tender,120.0,120.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,23-Feb-2023 05:00 PM,02-Mar-2023 11:30 AM,23-Feb-2023 05:00 PM,02-Mar-2023 09:00 AM,NA ,NA ,23-Feb-2023 05:00 PM,02-Mar-2023 09:00 AM,23-Mar-2023 10:00 AM,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330680.0,Anchul Dogra,02-Mar-2023 08:32 AM,Rejected-Technical,Document not received as per requirement,21-Mar-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,330614.0,Anuj KAHLOH,02-Mar-2023 06:51 AM,Rejected-Technical,Document not received as per requirement,21-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,330564.0,Kapil Sharma,01-Mar-2023 06:44 PM,Accepted-AOC,Award,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,330014.0,Neeraj,02-Mar-2023 07:52 AM,Rejected-Technical,Document not received as per requirement,21-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,329425.0,tek chand,28-Feb-2023 03:22 PM,Rejected-Technical,Document not received as per requirement,21-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,330355.0,Vijay kumar,01-Mar-2023 01:07 PM,Rejected-Technical,Document not received as per requirement,21-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq
