Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Annual Maintenance Plan for the Year 2023-24 on SAKB road MDR075 and Link road to Village Bill,"Annual Maintenance Plan for the Year 2023-24 on SAKB road MDR075 and Link road to Village Bill SH Providing and Laying renewal coat by providing 30mm thick Bituminous Concrete, thermoplastic edge line in Km. 3000 to 3100, 3200 to 32300 6400 to 6500 a",As per tender document ,NA ,"63,09,676",Civil Works,NA ,Tender,90.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,ICICI BANK,"2,000",Nil,Nil,No,Executive Engineer Kasauli,Executive Engineer Division Kasauli HPPWD,PWD,18074-83 dated 21.03.2023,2023_PWD_71597_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,26,200",No,fixed,,Nil,Nil,27-Mar-2023 11:00 AM,11-Apr-2023 11:30 AM,27-Mar-2023 11:10 AM,10-Apr-2023 04:00 PM,NA ,NA ,27-Mar-2023 11:20 AM,10-Apr-2023 04:00 PM,12-Apr-2023 11:50 AM,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,IFB,PWD,2023_PWD_71597_1,18074-83 dated 21.03.2023,Annual Maintenance Plan for the Year 2023-24 on SAKB road MDR075 and Link road to Village Bill,Er R.K.Gupta,Internal,Sh Dharam Singh HDM Sh Sumit Tanwar Supdt Gr-II Sh Vikas Sharma Sr DAO,Satish Kumar,12-Apr-2023 11:48 AM,12-Apr-2023 11:50 AM,techsummary_107716.pdf (769.38 KB),Er. R.K.Gupta,Internal,Sh Dharam Singh HDM Sh Sumit Tanwar Supdt Gr-II Sh Vikas Sharma Sr DAO,Satish Kumar,13-Apr-2023 11:10 AM,finsummary_107716.pdf (722.67 KB),24-Apr-2023,"INR 6,309,676",90.0,Satish Kumar,19-Aug-2023 11:42 AM,AOC20.pdf (917.00 KB),AOC,Finance,financial summary,Satish Kumar,13-Apr-2023 11:07 AM,finance_107716.pdf,BOQ Comparative Chart,1.0,340802.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,INR,"5,710,257",1.0,340709.0,Asphalt Carpet Construction Company,07-Apr-2023 03:47 PM,Rejected-Finance,Being L3,13-Apr-2023,Technical,technical summary,Satish Kumar,12-Apr-2023 11:47 AM,technical_107716.pdf
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341052.0,Himanshu Kapoor,09-Apr-2023 09:17 PM,Rejected-Finance,Being L2,13-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340802.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,06-Apr-2023 08:04 PM,Accepted-AOC,work completed,19-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,Payment Certificates ,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
