Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
Executive Engineer,O/o E E HP PWD Division Tanda at Nagrota Bagwan,1.0,ICICI BANK,500.0,Nil,Nil,No,PWD,NAGROTA-AMP-2023-24,2023_PWD_67411_23,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,01-Feb-2023 05:00 PM,07-Feb-2023 11:30 AM,01-Feb-2023 05:00 PM,07-Feb-2023 09:00 AM,NA ,NA ,01-Feb-2023 05:00 PM,07-Feb-2023 09:00 AM,10-Feb-2023 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"28,050",No,fixed,,Nil,Nil,Periodic maintenance of Tangh Uthragran Ramehar Baldhar Jassour road Km 0/000 to 6/600 (HP0408VR0030) (PMGSY Road) under Annual Maintenance Plan for the year 2023-24 in Distt Kangra (HP),Providing and laying 30mm thick bituminous concrete pavement in Km 4/000 to 5/000,Please refer Tender documents. ,NA ,"14,01,422",Civil Works - Roads,NA ,Tender,120.0,30.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o E E HP PWD Division Tanda at Nagrota Bagwan,No ,No,10-Apr-2023,"INR 1,401,422",30.0,Suresh Kumar Walia,10-Apr-2023 01:27 PM,Award.pdf (378.00 KB),1.0,319682.0,Chamunda Construction Works,INR,"1,456,056",Executive Engineer,Internal,"AE, DAO, Supdt, HDM",Suresh Kumar Walia,04-Mar-2023 12:15 PM,finsummary_102237.pdf (193.17 KB),PWD,2023_PWD_67411_23,NAGROTA-AMP-2023-24,Periodic maintenance of Tangh Uthragran Ramehar Baldhar Jassour road Km 0/000 to 6/600 (HP0408VR0030) (PMGSY Road) under Annual Maintenance Plan for the year 2023-24 in Distt Kangra (HP),Finance,sum,Suresh Kumar Walia,04-Mar-2023 12:14 PM,finance_102237.pdf,BOQ Comparative Chart,Technical,sum,Suresh Kumar Walia,09-Feb-2023 04:03 PM,technical_102237.pdf,Executive Engineer,Internal,"AE, D.A.O., Supdt Gr-II,HDM",Suresh Kumar Walia,09-Feb-2023 04:03 PM,10-Feb-2023 10:30 AM,techsummary_102237.pdf (965.01 KB),1.0,319682.0,Chamunda Construction Works,03-Feb-2023 05:08 PM,Accepted-AOC,Award,10-Apr-2023
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,319877.0,Ujjawal Singh,05-Feb-2023 04:24 PM,Rejected-Finance,Lowest 2,04-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
