Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Bid Opening Summary,Rama Ranjan Chakraborty,10-Mar-2023 02:32 PM,technical_47027.pdf,1.0,178722.0,C K PRUSTY AND ASSOCIATES,INR,780924.0,Finance,Financial bid opening summary,Rama Ranjan Chakraborty,04-Apr-2023 11:22 PM,finance_47027.pdf,BOQ Comparative Chart,CGM Audit APDCL,Internal,Members of tender evaluation committee,Rama Ranjan Chakraborty,05-Apr-2023 09:56 AM,finsummary_47027.pdf (1161.65 KB),Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,2023_APDCL_29203_4,CGM(Audit)/IA/APDCL/01/23,Selection of Internal Auditor for conducting internal audit of APDCL for FY 22-23 (PKG-4),1,178731,Abhishek Agarwal & Co.,03-Mar-2023 09:53 AM,Rejected-Technical,Non-responsive,21-Mar-2023 07:02 PM,24-Apr-2023,INR 780924.0,60.0,Rama Ranjan Chakraborty,24-Apr-2023 09:36 AM,LOA_PKG4.pdf (270.00 KB),Letter of Award (PKG-4),MD APDCL,Internal,Members of TPC-1,Rama Ranjan Chakraborty,21-Mar-2023 07:02 PM,22-Mar-2023 02:00 PM,techsummary_47027.pdf (1088.68 KB),AOC,Chief General Manager Audit,Office of CGM Audit APDCL 4th floor Bijulee Bhawan Paltanbazar 781001,185.0,Nil,Nil,Yes,Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,CGM(Audit)/IA/APDCL/01/23,2023_APDCL_29203_4,Yes,Open Tender,Turn-key,Services,2.0,No,No,Online,No,No,No,1.0,SBI Bank,08-Feb-2023 10:00 AM,04-Mar-2023 02:00 PM,08-Feb-2023 10:00 AM,03-Mar-2023 12:00 PM,08-Feb-2023 10:00 AM ,11-Feb-2023 11:00 AM ,16-Feb-2023 12:00 PM,03-Mar-2023 12:00 PM,22-Mar-2023 02:00 PM,Selection of Internal Auditor for conducting internal audit of APDCL for FY 22-23 (PKG-4),Selection of Internal Auditor for conducting internal audit of APDCL for FY 22-23 (PKG-4),Please refer Tender documents. ,NA ,"9,25,356",Consultancy,NA ,Tender,90.0,60.0,"Nagaon, Morigaon, KANCH",782001.0,Bijulee Bhawan Guwahati ,Office of CGM Audit APDCL 4th floor Bijulee Bhawan Paltanbazar 781001 ,13-Feb-2023 01:00 PM ,Office of the CGM Audit,No ,No,1.0,Fee/PreQual/Technical,.rar,Technical Bid,1.0,Corrigendum 1,Fee,,"20,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,178722,C K PRUSTY AND ASSOCIATES,03-Mar-2023 01:08 AM,Accepted-AOC,Most advantageous bidder,24-Apr-2023 09:36 AM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3,178465,D PATWARY AND CO,01-Mar-2023 06:23 PM,Rejected-Finance,Position based on Combined QCBS score H5,05-Apr-2023 09:56 AM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,4,178671,H K Agrawala & Associates,03-Mar-2023 10:48 AM,Rejected-Technical,Non-Responsive,21-Mar-2023 07:02 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,5,178637,M BORAR AND CO,02-Mar-2023 07:23 PM,Rejected-Finance,Position based on Combined QCBS score H6,05-Apr-2023 09:56 AM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,6,178636,M/S GUPTA MASKARA AND ASSOCIATES,02-Mar-2023 03:48 PM,Rejected-Technical,Non-responsive,21-Mar-2023 07:02 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,7,178716,N C Karnany and CO,02-Mar-2023 11:31 PM,Rejected-Finance,Position based on Combined QCBS score H7,05-Apr-2023 09:56 AM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,8,177961,Nirupam & Associates,27-Feb-2023 03:48 PM,Rejected-Finance,Position based on Combined QCBS score H4,05-Apr-2023 09:56 AM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,9,178651,OP TOTLA & CO.,02-Mar-2023 08:17 PM,Rejected-Finance,Position based on Combined QCBS score H3,05-Apr-2023 09:56 AM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,10,178685,PARIK & CO,02-Mar-2023 08:40 PM,Rejected-Finance,Position based on Combined QCBS score H2,05-Apr-2023 09:56 AM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,11,178640,"Sanjay Hazarika andCo., Chartered Accountants",02-Mar-2023 03:57 PM,Rejected-Technical,Non-Responsive,21-Mar-2023 07:02 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,12,178491,SPRKCO,01-Mar-2023 04:39 PM,Not Admitted-Finance,Not qualified for AOC,04-Apr-2023 11:22 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
