S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,15-Dec-2022 06:00 PM,22-Dec-2022 11:00 AM,15-Dec-2022 06:00 PM,21-Dec-2022 06:00 PM,NA ,NA ,15-Dec-2022 06:00 PM,21-Dec-2022 06:00 PM,01-Feb-2023 03:35 PM,"1,500",Nil,Nil,No,PWD,PW-RD-CB-Tender/22-13992-14092 dt.12.10.22,2022_PWD_66765_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C O link road from Kundralu Bawri to HB Shounthru Banoti HB in Km. 0.0 to 4.0,SH C O R Wall at Rd. 0.110 to 0.130 and B/Wall at Rd. 0.800 to 0.825,Please refer Tender documents. ,NA ,"23,45,050",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,EE HPPWD ROHRU,EE HPPWD ROHRU,1.0,ICICI BANK,"46,901",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Bid security with UTR No.,Finance,Summery,Duni Chand Chauhan,01-Feb-2023 03:45 PM,finance_100625.pdf,BOQ Comparative Chart,1.0,314035.0,HARDEV SINGH,INR,"2,345,050",1.0,314035.0,HARDEV SINGH,21-Dec-2022 02:29 PM,Accepted-AOC,LOA,12-Apr-2023,Technical,Sumery,Chuni Lal Azad,01-Feb-2023 03:28 PM,technical_100625.pdf,PWD,2022_PWD_66765_2,PW-RD-CB-Tender/22-13992-14092 dt.12.10.22,C O link road from Kundralu Bawri to HB Shounthru Banoti HB in Km. 0.0 to 4.0,Er. Pawan,Internal,"Er. C.L.AZAD,Naveen ,Sanjay",Chuni Lal Azad,01-Feb-2023 03:32 PM,01-Feb-2023 03:35 PM,techsummary_100625.pdf (418.47 KB),Er. Pawan,Internal,Er. C.L. AZAD,Pawan Kumar Garg,23-Feb-2023 01:11 PM,finsummary_100625.pdf (352.74 KB),12-Apr-2023,"INR 2,384,066",60.0,Chuni Lal Azad,12-Apr-2023 12:20 PM,Summery.pdf (433.00 KB),AOC
2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Cost of form with UTR No.,,,,,,,,,,,,2.0,314037.0,RAJNEESH THAKUR,21-Dec-2022 04:39 PM,Rejected-Finance,2nd lowest,23-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Mechinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,form No. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,wok done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
