Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
"Sri Binod Deka, CHD",Internal,,Mirajul Haque,12-Apr-2023 01:15 AM,finsummary_42783.pdf (557.46 KB),1.0,164312.0,SRI DIPUMONI DAS,INR,9378126.9,Bodoland Territorial Council||Irrigation-BTC,2022_BoTC_27620_12,CHDI/ET/2022-23/1,"DIFFERENT WORKS OF EXTENSION, RENOVATION AND MODERNIZATION OF (ERM), SUKLA IRRIGATION PROJECT UNDER PMKSY-AIBP FOR THE YEAR 2021-22",Finance,Financial bid opened,Mirajul Haque,26-Dec-2022 09:43 PM,,BOQ Comparative Chart,1,164414,BHARATI DAS BARO,28-Nov-2022 09:21 PM,Rejected-Technical,documents not found in order,23-Dec-2022 06:40 PM,Technical,technical bid opened,Khonghar Basumatary,06-Dec-2022 04:17 PM,,"Binod Deka,CHD",Internal,,Mirajul Haque,23-Dec-2022 06:40 PM,23-Dec-2022 06:45 PM,techsummary_42783.pdf (119.89 KB),12-Apr-2023,INR 9378126.9,365.0,Mirajul Haque,12-Apr-2023 01:17 AM,12.pdf (557.00 KB),AOC,"CHD, Irrigation, BTC","O/o the CHD, Irrigation, BTC, Kokrajhar",Bodoland Territorial Council||Irrigation-BTC,CHDI/ET/2022-23/1,2022_BoTC_27620_12,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,07-Nov-2022 02:00 PM,30-Nov-2022 02:00 PM,07-Nov-2022 02:00 PM,30-Nov-2022 12:00 PM,NA ,NA ,14-Nov-2022 10:00 AM,30-Nov-2022 12:00 PM,23-Dec-2022 06:45 PM,"DIFFERENT WORKS OF EXTENSION, RENOVATION AND MODERNIZATION OF (ERM), SUKLA IRRIGATION PROJECT UNDER PMKSY-AIBP FOR THE YEAR 2021-22","C.C. lining including earth work at Main Canal D1 from Chainage 8075.5 m to 8400 m (Surface Area 3767.445 sqm)of ERM,Sukla Irrigation Project under PMKSY-AIBP for the year 2021-22, Group No.12",Please refer Tender documents. ,NA ,"1,04,20,141",Civil Works,NA ,Tender,180.0,365.0,at Sukla FIS,781364.0,NA ,NA ,NA ,Kokrajhar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Bidding Documents,"2,08,403",Yes,percentage,2.0%,Nil,Nil,"2,100",Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,2,163855,BIRKHANG BASUMATARY,30-Nov-2022 07:25 AM,Rejected-Technical,documents not found in order,23-Dec-2022 06:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,163587,DADHI BRAHMA,29-Nov-2022 10:23 PM,Rejected-Finance,Work order not allotted for the respective work,12-Apr-2023 01:15 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,164294,Ganesh Daimary,29-Nov-2022 10:52 AM,Rejected-Finance,Work order not allotted for the respective work,12-Apr-2023 01:15 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,164245,M/S ABHISHEK ENTERPRISE,28-Nov-2022 09:35 AM,Rejected-Finance,Work order not allotted for the respective work,12-Apr-2023 01:15 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,163693,M/S Kusumbar Construction,28-Nov-2022 08:29 PM,Rejected-Finance,Work order not allotted for the respective work,12-Apr-2023 01:15 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,164737,PRIYA BARMAN,30-Nov-2022 04:20 AM,Rejected-Finance,Work order not allotted for the respective work,12-Apr-2023 01:15 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,164466,ROHAN BARUA,29-Nov-2022 09:25 PM,Rejected-Technical,documents not found in order,23-Dec-2022 06:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,164312,SRI DIPUMONI DAS,28-Nov-2022 10:24 PM,Accepted-AOC,Work order not allotted for the respective work,12-Apr-2023 01:17 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,163134,SRI MINTU BISWAS,25-Nov-2022 11:53 PM,Rejected-Finance,Work order not allotted for the respective work,12-Apr-2023 01:15 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,164467,suren ch baro,29-Nov-2022 11:21 AM,Rejected-Finance,Work order not allotted for the respective work,12-Apr-2023 01:15 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
