Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,04-Mar-2022 04:42 PM,finsummary_86426.pdf (644.34 KB),26-Apr-2023,"INR 20,999,682",90.0,Tarsem Singh,26-Apr-2023 02:51 PM,3.pdf (835.00 KB),PWD,2022_PWD_57249_1,PW-JD/E-Tender/2021-22 -10244-46 DT18.2.2022,Restoration of rain Damages on Jubbal Kenchi Santoshinager Road Km 0/0 to 6/0,Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,04-Mar-2022 03:19 PM,04-Mar-2022 03:20 PM,techsummary_86426.pdf (449.21 KB),Technical,2 Nos. of Bids Received,Tarsem Singh,04-Mar-2022 02:07 PM,technical_86426.pdf,1.0,267496.0,Arun Negi,02-Mar-2022 12:51 PM,Rejected-Finance,OK,04-Mar-2022,1.0,267488.0,Rajinder Singh Negi,INR,"20,999,682",Finance,Rajinder is L1,Tarsem Singh,04-Mar-2022 04:34 PM,finance_86426.pdf,BOQ Comparative Chart,PWD,PW-JD/E-Tender/2021-22 -10244-46 DT18.2.2022,2022_PWD_57249_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,32,350",No,fixed,,Nil,Nil,Executive Engineer Jubbal,HPPWD JUBBAL,26-Feb-2022 12:40 PM,03-Mar-2022 01:30 PM,26-Feb-2022 12:40 PM,03-Mar-2022 01:00 PM,NA ,NA ,26-Feb-2022 12:40 PM,03-Mar-2022 01:00 PM,04-Mar-2022 03:20 PM,"5,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,Restoration of rain Damages on Jubbal Kenchi Santoshinager Road Km 0/0 to 6/0,"C/O Breasts,Retaining Walls and Edge walls at various RDs between Km 0/0 to 2/500",Please refer Tender documents. ,NA ,"2,12,16,458",Civil Works - Roads,NA ,Tender,120.0,90.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,267488.0,Rajinder Singh Negi,02-Mar-2022 12:18 PM,Accepted-AOC,ok,26-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The Earnest Money as per Tender Document,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as per Tender Document,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report as per Tender Document,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,
